clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
4,0.1155653417302385,ahc,average,geometric,1,weekly,,0.2611
7,0.04435590132114745,ahc,average,geometric,1,weekly,,0.4733
9,0.02695653175895621,ahc,average,geometric,1,weekly,,0.6231
10,0.02782319763208547,ahc,average,geometric,1,weekly,,1.0022
12,0.023920762524892957,ahc,average,geometric,1,weekly,,1.2486
15,0.025521374341153123,ahc,average,geometric,1,weekly,,2.202
18,0.04728560402245885,ahc,average,geometric,1,weekly,,3.063
4,0.09293658306890115,ahc,complete,geometric,1,weekly,,0.4384
7,0.02825224942359889,ahc,complete,geometric,1,weekly,,1.9159
9,0.026592851808690827,ahc,complete,geometric,1,weekly,,2.1438
10,0.02928983980814194,ahc,complete,geometric,1,weekly,,2.4126
12,0.03145470487277574,ahc,complete,geometric,1,weekly,,2.5827
15,0.03806453503867939,ahc,complete,geometric,1,weekly,,3.1502
18,0.04094054964670477,ahc,complete,geometric,1,weekly,,3.5947
4,0.09874200816000796,ahc,single,geometric,1,weekly,,0.1242
7,0.015167665473931433,ahc,single,geometric,1,weekly,,0.2482
9,-0.008058220574413822,ahc,single,geometric,1,weekly,,0.3307
10,-0.014393131319032122,ahc,single,geometric,1,weekly,,0.3719
12,-0.026287442343304393,ahc,single,geometric,1,weekly,,0.4542
15,-0.03642413520895657,ahc,single,geometric,1,weekly,,0.6095
18,-0.042099007185359257,ahc,single,geometric,1,weekly,,0.7927
4,0.16093105589498466,ahc,average,geometric,1,3day,,0.2374
7,0.055762910182178764,ahc,average,geometric,1,3day,,0.7469
9,0.0476052364623886,ahc,average,geometric,1,3day,,0.8659
10,0.0447375731993278,ahc,average,geometric,1,3day,,0.8805
12,0.03391042947674482,ahc,average,geometric,1,3day,,1.1567
15,0.046191141407330855,ahc,average,geometric,1,3day,,1.9442
18,0.049359083193648436,ahc,average,geometric,1,3day,,2.478
4,0.06820062554864083,ahc,complete,geometric,1,3day,,0.7216
7,0.05249719796776482,ahc,complete,geometric,1,3day,,0.8705
9,0.04533261640342401,ahc,complete,geometric,1,3day,,1.65
10,0.044844397113496505,ahc,complete,geometric,1,3day,,2.1772
12,0.04494895792143416,ahc,complete,geometric,1,3day,,2.3043
15,0.04996911835120919,ahc,complete,geometric,1,3day,,2.9366
