clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
4,0.02554098291730724,kmeans,not_applicable,geometric,1,weekly,34.93735069606468,1.988
7,0.035529749048167504,kmeans,not_applicable,geometric,1,weekly,32.90090318760567,2.6443
9,0.02098247063337773,kmeans,not_applicable,geometric,1,weekly,32.33056950291629,3.0706
10,0.020816661549454295,kmeans,not_applicable,geometric,1,weekly,31.635580940741054,3.0849
12,0.03250684981831743,kmeans,not_applicable,geometric,1,weekly,30.743639009384694,3.4561
15,0.040102042175064474,kmeans,not_applicable,geometric,1,weekly,28.9727811694589,3.7481
18,0.03822039642317077,kmeans,not_applicable,geometric,1,weekly,28.47713660167618,3.9525
4,0.03668252683995151,kmeans,not_applicable,geometric,1,3day,84.13256800428046,1.8097
7,0.038142193443263764,kmeans,not_applicable,geometric,1,3day,79.01042603337073,2.6558
9,0.026874335239949303,kmeans,not_applicable,geometric,1,3day,78.57301111894222,3.0112
10,0.016524977775808355,kmeans,not_applicable,geometric,1,3day,76.54476586739221,3.1881
12,0.025321741906905667,kmeans,not_applicable,geometric,1,3day,74.27182658744995,3.3862
15,0.02291558741233104,kmeans,not_applicable,geometric,1,3day,72.07243690457844,3.6255
18,0.025520651370859147,kmeans,not_applicable,geometric,1,3day,69.75120817616653,3.9165
4,0.03907790141809842,kmeans,not_applicable,geometric,1,full,183.28832375493687,1.7147
7,0.04090951450153616,kmeans,not_applicable,geometric,1,full,172.9315055966833,2.6483
9,0.013635255246293882,kmeans,not_applicable,geometric,1,full,174.39449351979775,3.0679
10,0.015506457912467369,kmeans,not_applicable,geometric,1,full,169.18537926409326,3.2906
12,0.022320603082488465,kmeans,not_applicable,geometric,1,full,165.39437956975397,3.3296
15,0.021777719857373708,kmeans,not_applicable,geometric,1,full,160.82290891291794,3.6036
18,0.021027342048970794,kmeans,not_applicable,geometric,1,full,155.2499260962916,3.9321
4,0.06759585329641717,kmeans,not_applicable,geometric,7,weekly,15.581611832043327,1.9553
7,0.04857929642284714,kmeans,not_applicable,geometric,7,weekly,14.348332279439845,2.6613
9,0.035100607945495674,kmeans,not_applicable,geometric,7,weekly,14.131349483376654,3.0383
10,0.042591879924002575,kmeans,not_applicable,geometric,7,weekly,13.707046234825285,3.1095
12,0.05092537809150146,kmeans,not_applicable,geometric,7,weekly,12.983645141565436,3.4616
15,0.05596395453154564,kmeans,not_applicable,geometric,7,weekly,12.251725328868421,3.7502
18,0.04539321562673692,kmeans,not_applicable,geometric,7,weekly,11.931893866166218,3.9996
4,0.04723205977060288,kmeans,not_applicable,geometric,7,3day,39.605684110272925,1.8561
7,0.030122841644343475,kmeans,not_applicable,geometric,7,3day,36.70876763837071,2.6402
9,0.022459594750453726,kmeans,not_applicable,geometric,7,3day,35.490848571402424,3.0581
10,0.021189161218278275,kmeans,not_applicable,geometric,7,3day,34.919291660317555,3.1612
12,0.024696706057587763,kmeans,not_applicable,geometric,7,3day,33.67463641301047,3.3661
15,0.019657602765573715,kmeans,not_applicable,geometric,7,3day,32.567683176798205,3.6239
18,0.028937451507232533,kmeans,not_applicable,geometric,7,3day,31.379423939334096,3.8813
4,0.026967755579585466,kmeans,not_applicable,geometric,7,full,87.26177530836162,1.8453
7,0.029996195855517698,kmeans,not_applicable,geometric,7,full,81.99683499016992,2.4181
9,0.018197479631234897,kmeans,not_applicable,geometric,7,full,79.7861045416154,3.0451
10,0.012358769741459424,kmeans,not_applicable,geometric,7,full,78.19317653395204,3.0975
12,0.025509715911090382,kmeans,not_applicable,geometric,7,full,74.81065485454475,3.2999
15,0.025036735485152443,kmeans,not_applicable,geometric,7,full,72.47359384793724,3.6626
18,0.026908466034038167,kmeans,not_applicable,geometric,7,full,69.88448969398537,3.8267
4,0.0762481049202394,kmeans,not_applicable,geometric,10,weekly,14.741601106404536,1.8645
7,0.07829089241249944,kmeans,not_applicable,geometric,10,weekly,12.923139523511255,2.7288
9,0.05674122848693626,kmeans,not_applicable,geometric,10,weekly,12.255358034606827,3.0279
10,0.06607497130858926,kmeans,not_applicable,geometric,10,weekly,11.969687827666839,3.2139
12,0.058255756480017115,kmeans,not_applicable,geometric,10,weekly,11.361511716176377,3.4777
15,0.0598422652804513,kmeans,not_applicable,geometric,10,weekly,10.586761980096853,3.7583
18,0.0401808656623835,kmeans,not_applicable,geometric,10,weekly,10.159435455031861,4.0324
4,0.05922698917940267,kmeans,not_applicable,geometric,10,3day,33.62675444077484,1.9148
7,0.039058554231354056,kmeans,not_applicable,geometric,10,3day,31.9957106411467,2.4786
9,0.01705875773222703,kmeans,not_applicable,geometric,10,3day,30.30842575957729,3.0304
10,0.02835577213595647,kmeans,not_applicable,geometric,10,3day,29.287411983795614,3.1885
12,0.02348743279856255,kmeans,not_applicable,geometric,10,3day,28.645468189482752,3.3252
15,0.023858834926822645,kmeans,not_applicable,geometric,10,3day,27.288663649445926,3.6915
18,0.02529958603915589,kmeans,not_applicable,geometric,10,3day,26.005932414115225,3.9177
