clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
4,0.15554109373371097,kshape,not_applicable,geometric,1,weekly,0.2221265313374445,1.9183
7,0.180613247987178,kshape,not_applicable,geometric,1,weekly,0.1743923575636218,2.6614
9,0.12966413487295717,kshape,not_applicable,geometric,1,weekly,0.15973987886081736,3.0368
10,0.10133914049919075,kshape,not_applicable,geometric,1,weekly,0.14851421403602494,3.1912
12,0.19534476858730307,kshape,not_applicable,geometric,1,weekly,0.13721905352882985,3.3583
15,0.10274837570841797,kshape,not_applicable,geometric,1,weekly,0.12517582636871824,3.6563
18,0.1100646168671003,kshape,not_applicable,geometric,1,weekly,0.11559144616200999,3.9661
4,0.17247481337450637,kshape,not_applicable,geometric,1,3day,0.22694921315074834,1.9063
7,0.20646297087070767,kshape,not_applicable,geometric,1,3day,0.16915273463616448,2.6794
9,0.13601256244369112,kshape,not_applicable,geometric,1,3day,0.16446227145679057,3.059
10,0.11346724351825598,kshape,not_applicable,geometric,1,3day,0.15962394813879208,3.0155
12,0.19302039380332678,kshape,not_applicable,geometric,1,3day,0.14781921682127697,3.2442
15,0.12349037163106019,kshape,not_applicable,geometric,1,3day,0.13096701388639687,3.6536
18,0.12489669156672939,kshape,not_applicable,geometric,1,3day,0.12035229552308431,3.8712
4,0.1527121812257451,kshape,not_applicable,geometric,1,full,0.24038600668851703,1.8629
7,0.22505787787262937,kshape,not_applicable,geometric,1,full,0.1680476879374914,2.6805
9,0.20806346960031832,kshape,not_applicable,geometric,1,full,0.15331617284161575,3.0093
10,0.14594041891023266,kshape,not_applicable,geometric,1,full,0.1542257946173103,3.0035
12,0.12397370614066566,kshape,not_applicable,geometric,1,full,0.1472873568879693,3.2279
15,0.10164009149331867,kshape,not_applicable,geometric,1,full,0.129404387288381,3.6616
18,0.08097200723214275,kshape,not_applicable,geometric,1,full,0.12772145254932019,3.9017
4,0.11396436266134577,kshape,not_applicable,geometric,7,weekly,0.1319614363681456,1.9868
7,0.12575799291697007,kshape,not_applicable,geometric,7,weekly,0.1078019604284381,2.6395
9,0.11756801055280558,kshape,not_applicable,geometric,7,weekly,0.09999069086805243,3.0733
10,0.13375130683404785,kshape,not_applicable,geometric,7,weekly,0.0908546664056051,3.1504
12,0.08466731253500377,kshape,not_applicable,geometric,7,weekly,0.08887969952068936,3.4925
15,0.08304576437468812,kshape,not_applicable,geometric,7,weekly,0.07829430824215326,3.7263
18,0.09988663924017142,kshape,not_applicable,geometric,7,weekly,0.06862033261622777,4.0202
4,0.12435515197572423,kshape,not_applicable,geometric,7,3day,0.17949821786383516,1.9371
7,0.1511703810958634,kshape,not_applicable,geometric,7,3day,0.14344312734852616,2.725
9,0.16102613046125236,kshape,not_applicable,geometric,7,3day,0.1293157876267063,3.0904
10,0.1531447145904751,kshape,not_applicable,geometric,7,3day,0.1242205907894127,3.109
12,0.16927399843291663,kshape,not_applicable,geometric,7,3day,0.11017717395823234,3.4573
15,0.1835605731503143,kshape,not_applicable,geometric,7,3day,0.10013387722540999,3.674
18,0.1537356735948262,kshape,not_applicable,geometric,7,3day,0.0926773336543068,3.9411
4,0.15339517358329535,kshape,not_applicable,geometric,7,full,0.20191708286603624,1.8699
7,0.17514556602398518,kshape,not_applicable,geometric,7,full,0.15005039452047592,2.6719
9,0.1710374725676478,kshape,not_applicable,geometric,7,full,0.14255328904129555,3.0376
10,0.10210888565967327,kshape,not_applicable,geometric,7,full,0.13612083451546714,3.1201
12,0.17654487526570845,kshape,not_applicable,geometric,7,full,0.12867501847438903,3.1393
15,0.08959775823287246,kshape,not_applicable,geometric,7,full,0.11344229870327042,3.6565
18,0.14001419501782456,kshape,not_applicable,geometric,7,full,0.10372375546986853,3.9427
4,0.11911420146036276,kshape,not_applicable,geometric,10,weekly,0.11375264987360197,1.9892
7,0.10926072160339236,kshape,not_applicable,geometric,10,weekly,0.09217313511660412,2.6119
9,0.1081553680231959,kshape,not_applicable,geometric,10,weekly,0.0845734844735033,3.0366
10,0.08036775014731293,kshape,not_applicable,geometric,10,weekly,0.07777633021410713,3.2608
12,0.09114352620680742,kshape,not_applicable,geometric,10,weekly,0.07303945701349149,3.4856
15,0.06801926959712783,kshape,not_applicable,geometric,10,weekly,0.06573966162101219,3.7861
18,0.11782003768172983,kshape,not_applicable,geometric,10,weekly,0.05882544277591116,3.956
4,0.11425788311889187,kshape,not_applicable,geometric,10,3day,0.1628045695807838,1.9259
7,0.13811047655280256,kshape,not_applicable,geometric,10,3day,0.1322787907550883,2.6267
9,0.09953403828516719,kshape,not_applicable,geometric,10,3day,0.12108630561890539,3.0903
10,0.13630653658418904,kshape,not_applicable,geometric,10,3day,0.113390701983879,3.1476
12,0.145408926485633,kshape,not_applicable,geometric,10,3day,0.10404387555034462,3.4592
15,0.10034497906732824,kshape,not_applicable,geometric,10,3day,0.09525747872853399,3.7438
18,0.16597902989071914,kshape,not_applicable,geometric,10,3day,0.0836293468822918,3.8917
4,0.13796517432267352,kshape,not_applicable,geometric,10,full,0.18977631803007727,1.8828
7,0.1640703445101032,kshape,not_applicable,geometric,10,full,0.14568126784064364,2.6528
9,0.1715095291460054,kshape,not_applicable,geometric,10,full,0.13476380087827056,3.0688
10,0.17274990723065145,kshape,not_applicable,geometric,10,full,0.1315360152498181,3.0867
12,0.18695699829361997,kshape,not_applicable,geometric,10,full,0.11802018415252422,3.3962
15,0.1017920755878939,kshape,not_applicable,geometric,10,full,0.11061528702854041,3.651
18,0.09041179762454822,kshape,not_applicable,geometric,10,full,0.10223881911802919,3.9398
4,0.08967450521299188,kshape,not_applicable,geometric,14,weekly,0.09444475871803065,1.982
7,0.0789496029975498,kshape,not_applicable,geometric,14,weekly,0.07213344686997854,2.7441
9,0.09024717212628512,kshape,not_applicable,geometric,14,weekly,0.0651216385703192,3.0869
10,0.08578946830678501,kshape,not_applicable,geometric,14,weekly,0.06192603460490228,3.2528
12,0.09017427950591995,kshape,not_applicable,geometric,14,weekly,0.05657012359657256,3.4822
15,0.03750359245168909,kshape,not_applicable,geometric,14,weekly,0.04967280514338802,3.8288
18,0.09198547111682953,kshape,not_applicable,geometric,14,weekly,0.045961325710781875,4.0156
4,0.11275467417523992,kshape,not_applicable,geometric,14,3day,0.13934799087722824,1.9783
7,0.12882792471639917,kshape,not_applicable,geometric,14,3day,0.11523263824091261,2.6493
9,0.11839306473911383,kshape,not_applicable,geometric,14,3day,0.10663650776868587,3.0071
10,0.10057477131123371,kshape,not_applicable,geometric,14,3day,0.09744565420983112,3.2028
12,0.13343871726760523,kshape,not_applicable,geometric,14,3day,0.09265536413596522,3.4446
15,0.14178931802559533,kshape,not_applicable,geometric,14,3day,0.07994997406737844,3.7176
18,0.16546446706061813,kshape,not_applicable,geometric,14,3day,0.07020512566506472,3.9438
4,0.1268854963359219,kshape,not_applicable,geometric,14,full,0.17891403229333425,1.9344
7,0.15413832149031098,kshape,not_applicable,geometric,14,full,0.14071874352545558,2.6355
9,0.167889422439819,kshape,not_applicable,geometric,14,full,0.12639031393713537,3.0566
10,0.16616072676793525,kshape,not_applicable,geometric,14,full,0.12044847377049189,3.1435
12,0.1877665715533,kshape,not_applicable,geometric,14,full,0.10759849248546771,3.4113
15,0.1828830805734115,kshape,not_applicable,geometric,14,full,0.10126120586873967,3.6579
18,0.09442583661150933,kshape,not_applicable,geometric,14,full,0.09043147275161707,3.9599
4,0.04244764564616404,kshape,not_applicable,geometric,30,weekly,0.05471179113693643,1.9468
7,0.02222958462819394,kshape,not_applicable,geometric,30,weekly,0.04192576702923162,2.5291
9,-0.090070737452341,kshape,not_applicable,geometric,30,weekly,0.03728474660165386,3.0052
10,-0.06734480543212659,kshape,not_applicable,geometric,30,weekly,0.03713483666984926,3.029
12,-0.051441118118877964,kshape,not_applicable,geometric,30,weekly,0.03537522214162546,3.4265
15,-0.10060922112636951,kshape,not_applicable,geometric,30,weekly,0.030518178740941496,3.6217
18,-0.1588736256412512,kshape,not_applicable,geometric,30,weekly,0.029465810044536255,3.9097
4,0.09716983335737929,kshape,not_applicable,geometric,30,3day,0.09623874857652316,1.9977
7,0.0902501402080308,kshape,not_applicable,geometric,30,3day,0.07387304541775566,2.6975
9,0.08345651183492238,kshape,not_applicable,geometric,30,3day,0.0664462757096877,3.0682
10,0.09671466610288235,kshape,not_applicable,geometric,30,3day,0.0632202563322652,3.2044
12,0.0235316488845859,kshape,not_applicable,geometric,30,3day,0.06212919111305418,3.4548
15,0.09585271923539114,kshape,not_applicable,geometric,30,3day,0.05263210808292723,3.7671
18,0.10217166086786321,kshape,not_applicable,geometric,30,3day,0.047110644402763066,4.0242
4,0.11589543357834002,kshape,not_applicable,geometric,30,full,0.1394377843468627,1.9918
7,0.1319665695440338,kshape,not_applicable,geometric,30,full,0.1154462617434866,2.6483
9,0.1394727070230153,kshape,not_applicable,geometric,30,full,0.10474470233378248,3.0656
10,0.10147761157956248,kshape,not_applicable,geometric,30,full,0.09791568132640836,3.2012
12,0.13264075773389122,kshape,not_applicable,geometric,30,full,0.09211255465321996,3.4722
15,0.1479141024543024,kshape,not_applicable,geometric,30,full,0.0813380111684778,3.738
18,0.17047845917707277,kshape,not_applicable,geometric,30,full,0.07038639420456441,3.9796
4,-0.03465213787165884,kshape,not_applicable,geometric,60,weekly,0.06585997870329509,1.9691
7,-0.17495390666227026,kshape,not_applicable,geometric,60,weekly,0.046608198246427354,2.5373
9,-0.16969244210426265,kshape,not_applicable,geometric,60,weekly,0.0421921790599957,3.0047
10,-0.19297621098027773,kshape,not_applicable,geometric,60,weekly,0.03920443646274599,3.1091
12,-0.3164931397963875,kshape,not_applicable,geometric,60,weekly,0.03878987402683724,3.1083
15,-0.25302541779127374,kshape,not_applicable,geometric,60,weekly,0.03412107578088891,3.7647
18,-0.2709965579417106,kshape,not_applicable,geometric,60,weekly,0.031214321564284365,3.7931
4,0.0440497950973037,kshape,not_applicable,geometric,60,3day,0.05674864410720522,1.9671
7,0.02037097115347361,kshape,not_applicable,geometric,60,3day,0.04276747526041514,2.735
9,-0.0027708653578731586,kshape,not_applicable,geometric,60,3day,0.03826543379468012,3.0372
10,-0.083361986160374,kshape,not_applicable,geometric,60,3day,0.038089285458325156,3.1438
12,-0.045324025043361256,kshape,not_applicable,geometric,60,3day,0.03378878713051416,3.3114
15,-0.0570914180650735,kshape,not_applicable,geometric,60,3day,0.029953022958070084,3.8067
18,-0.0837209073114769,kshape,not_applicable,geometric,60,3day,0.02712936767170615,3.9282
4,0.10115152189145889,kshape,not_applicable,geometric,60,full,0.09992173999799608,1.9909
7,0.0992395167331278,kshape,not_applicable,geometric,60,full,0.07834989724318928,2.7362
9,0.09509187205276959,kshape,not_applicable,geometric,60,full,0.07048715955361652,3.0698
10,0.08535460865356347,kshape,not_applicable,geometric,60,full,0.06510456037824085,3.2807
12,0.08531682047384861,kshape,not_applicable,geometric,60,full,0.06202801636876339,3.5191
15,0.058253040289117625,kshape,not_applicable,geometric,60,full,0.054563379461015235,3.8229
