clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
4,0.07190275222573866,ahc,average,geometric,1,weekly,,0.1621
7,0.019008770250120318,ahc,average,geometric,1,weekly,,0.4849
9,0.010493991784268705,ahc,average,geometric,1,weekly,,0.9272
10,0.00887042665071993,ahc,average,geometric,1,weekly,,1.1052
12,0.022103653160593636,ahc,average,geometric,1,weekly,,2.0788
15,0.03890021351328986,ahc,average,geometric,1,weekly,,2.7065
18,0.043303460814886466,ahc,average,geometric,1,weekly,,3.1207
4,0.03244836790531327,ahc,complete,geometric,1,weekly,,1.2281
7,0.02603128325337607,ahc,complete,geometric,1,weekly,,1.9159
9,0.03190736193075418,ahc,complete,geometric,1,weekly,,2.6582
10,0.03392880122918604,ahc,complete,geometric,1,weekly,,2.7416
12,0.03479021116268706,ahc,complete,geometric,1,weekly,,2.9695
15,0.04472855660540162,ahc,complete,geometric,1,weekly,,3.5579
18,0.047770060555330805,ahc,complete,geometric,1,weekly,,3.7627
4,0.049699483856914396,ahc,single,geometric,1,weekly,,0.1286
7,-0.0037407054844116596,ahc,single,geometric,1,weekly,,0.2569
9,-0.016307904471041003,ahc,single,geometric,1,weekly,,0.3423
10,-0.020268883344556086,ahc,single,geometric,1,weekly,,0.385
12,-0.028174372844910738,ahc,single,geometric,1,weekly,,0.4701
15,-0.03559920527581188,ahc,single,geometric,1,weekly,,0.5977
18,-0.0411511022313188,ahc,single,geometric,1,weekly,,0.7579
4,0.058880779487883554,ahc,average,geometric,1,3day,,0.5452
7,0.043555710156925206,ahc,average,geometric,1,3day,,0.6713
9,0.044499128813426124,ahc,average,geometric,1,3day,,1.516
10,0.043541519792174646,ahc,average,geometric,1,3day,,1.5342
12,0.03981975322318951,ahc,average,geometric,1,3day,,1.6967
15,0.04587807630268722,ahc,average,geometric,1,3day,,2.4836
18,0.0463566674766516,ahc,average,geometric,1,3day,,2.7922
4,0.04205765604138013,ahc,complete,geometric,1,3day,,0.6198
7,0.042664283127057494,ahc,complete,geometric,1,3day,,1.5112
9,0.04482436113972974,ahc,complete,geometric,1,3day,,2.1428
10,0.04521651882806842,ahc,complete,geometric,1,3day,,2.5464
12,0.050777252158775064,ahc,complete,geometric,1,3day,,3.0769
15,0.051176874649724,ahc,complete,geometric,1,3day,,3.2746
18,0.051915965398654326,ahc,complete,geometric,1,3day,,3.5998
4,0.023360401025187008,ahc,single,geometric,1,3day,,0.1286
7,0.00010500561508016157,ahc,single,geometric,1,3day,,0.2569
9,-0.009628886759050945,ahc,single,geometric,1,3day,,0.3423
10,-0.020143261339063342,ahc,single,geometric,1,3day,,0.385
12,-0.03113024411977405,ahc,single,geometric,1,3day,,0.4701
15,-0.03804898363880949,ahc,single,geometric,1,3day,,0.6308
18,-0.040767283187421184,ahc,single,geometric,1,3day,,0.7579
4,0.05195962680926174,ahc,average,geometric,1,full,,0.2787
7,0.034754166641913484,ahc,average,geometric,1,full,,0.6463
9,0.046499910311999695,ahc,average,geometric,1,full,,1.6263
