clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
2,0.1676272700746212,kshape,not_applicable,geometric,1,weekly,0.04162500970187869,0.7121
3,0.009461611123423572,kshape,not_applicable,geometric,1,weekly,0.03880502459636563,0.9775
4,0.037437317652119405,kshape,not_applicable,geometric,1,weekly,0.03457527992357246,1.2385
5,-0.046884474978353075,kshape,not_applicable,geometric,1,weekly,0.03385691010649233,1.3916
6,-0.020776442792743238,kshape,not_applicable,geometric,1,weekly,0.03056469269062371,2.0094
7,0.0021644361846408448,kshape,not_applicable,geometric,1,weekly,0.027193607875350925,2.2715
2,0.2486885517520334,kshape,not_applicable,geometric,1,3day,0.0375503781916146,0.3776
3,0.06268783526397757,kshape,not_applicable,geometric,1,3day,0.03427555570848239,1.1096
4,0.0828945354105778,kshape,not_applicable,geometric,1,3day,0.030778555627001453,1.3511
5,0.02333189785215507,kshape,not_applicable,geometric,1,3day,0.031027271510090566,1.8959
6,-0.00984081154614183,kshape,not_applicable,geometric,1,3day,0.027659862324319103,1.9887
7,0.029844301300880005,kshape,not_applicable,geometric,1,3day,0.025425234563921706,2.1671
2,0.03841199133451909,kshape,not_applicable,geometric,1,full,0.038459444322390395,0.8722
3,0.04865290996134019,kshape,not_applicable,geometric,1,full,0.037106587911342456,0.7604
4,0.02905649606351054,kshape,not_applicable,geometric,1,full,0.035316614125049495,1.056
5,0.02588444289247648,kshape,not_applicable,geometric,1,full,0.03262667419381854,1.6673
6,-0.01161512729917575,kshape,not_applicable,geometric,1,full,0.03167465178117305,1.8882
7,0.014960701427911977,kshape,not_applicable,geometric,1,full,0.027220578208190713,2.0208
2,0.369368611425715,kshape,not_applicable,geometric,7,weekly,0.024538494343225685,0.5349
3,0.16544963705071794,kshape,not_applicable,geometric,7,weekly,0.020336809323010217,1.3413
4,0.044564135483821245,kshape,not_applicable,geometric,7,weekly,0.020492251231997737,1.7313
5,0.03640731153427876,kshape,not_applicable,geometric,7,weekly,0.01718212084187284,2.1162
6,0.07465710586617179,kshape,not_applicable,geometric,7,weekly,0.015670651025437812,2.1376
7,0.04420561379761919,kshape,not_applicable,geometric,7,weekly,0.01503413532207407,2.4045
2,0.22101351706974232,kshape,not_applicable,geometric,7,3day,0.034803939470674096,0.6594
3,0.028367683554343583,kshape,not_applicable,geometric,7,3day,0.03162619140620147,1.4732
4,0.03499980860358729,kshape,not_applicable,geometric,7,3day,0.028626651076628932,1.6762
5,0.03623082200746366,kshape,not_applicable,geometric,7,3day,0.02590677273973154,2.0198
6,0.09120735299695237,kshape,not_applicable,geometric,7,3day,0.022751949273806134,2.0776
7,0.049655844666855735,kshape,not_applicable,geometric,7,3day,0.019875131879988715,2.4882
2,0.268500417195937,kshape,not_applicable,geometric,7,full,0.03683896783125559,0.2812
3,0.09427820321900984,kshape,not_applicable,geometric,7,full,0.03274789045599864,0.8983
4,0.10672964663762295,kshape,not_applicable,geometric,7,full,0.030332860053012774,1.2811
5,0.0438660145187989,kshape,not_applicable,geometric,7,full,0.028742185095224325,1.5334
6,0.009963368322685977,kshape,not_applicable,geometric,7,full,0.026110478906384644,2.0745
7,0.027918151440666436,kshape,not_applicable,geometric,7,full,0.02267951586829369,2.2767
2,0.3903806323665321,kshape,not_applicable,geometric,10,weekly,0.025553599255083697,0.5349
3,0.2579876911112593,kshape,not_applicable,geometric,10,weekly,0.019414924151206422,1.3146
4,0.13250383715155625,kshape,not_applicable,geometric,10,weekly,0.018317149294729093,1.8163
5,0.05877276346242673,kshape,not_applicable,geometric,10,weekly,0.01579117534372637,1.9537
6,0.114960594121463,kshape,not_applicable,geometric,10,weekly,0.012781164629273868,2.0598
7,0.06243872771224268,kshape,not_applicable,geometric,10,weekly,0.012469563755661947,2.1941
2,0.3015248135808552,kshape,not_applicable,geometric,10,3day,0.03277113556191096,0.5349
3,0.07464608704067147,kshape,not_applicable,geometric,10,3day,0.028628200053321166,1.411
4,0.07679556579665726,kshape,not_applicable,geometric,10,3day,0.028376273668993788,1.0744
5,-0.0008751500710978485,kshape,not_applicable,geometric,10,3day,0.025663833488336264,2.0416
6,0.10497348550583481,kshape,not_applicable,geometric,10,3day,0.023575855207813298,2.0193
7,0.02450190910718804,kshape,not_applicable,geometric,10,3day,0.02036323486146344,2.4169
2,0.27848727019098235,kshape,not_applicable,geometric,10,full,0.03637220719660998,0.2812
3,0.10964967548008496,kshape,not_applicable,geometric,10,full,0.031804519931360686,1.0383
4,0.08515111560215649,kshape,not_applicable,geometric,10,full,0.02924536047502959,1.2385
5,0.010831291663288136,kshape,not_applicable,geometric,10,full,0.02771058172853311,2.0721
6,0.04888317530472863,kshape,not_applicable,geometric,10,full,0.024995548856199024,2.1452
7,0.023524983888667896,kshape,not_applicable,geometric,10,full,0.02194608201763741,2.2926
2,0.3416566079651232,kshape,not_applicable,geometric,14,weekly,0.03048614797682894,0.5349
3,0.29383877247104384,kshape,not_applicable,geometric,14,weekly,0.01953850767272026,1.3672
