clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
4,0.02948151004431364,kmeans,not_applicable,geometric,1,weekly,35.08478949441883,1.8191
7,0.025476383018240886,kmeans,not_applicable,geometric,1,weekly,33.45697324637539,2.6636
9,0.03215601553153661,kmeans,not_applicable,geometric,1,weekly,32.08281040010708,3.0384
10,0.0294365102460217,kmeans,not_applicable,geometric,1,weekly,31.600808569732376,3.1973
12,0.03654004790411397,kmeans,not_applicable,geometric,1,weekly,30.855460106247687,3.3532
15,0.009432091227427645,kmeans,not_applicable,geometric,1,weekly,30.26786372474717,3.6164
18,0.013444830465320325,kmeans,not_applicable,geometric,1,weekly,28.634870601794688,3.9627
4,0.03866882815623532,kmeans,not_applicable,geometric,1,3day,82.9535836052702,1.9222
7,0.03221282141822811,kmeans,not_applicable,geometric,1,3day,79.75827861235642,2.6224
9,0.03604501088056293,kmeans,not_applicable,geometric,1,3day,76.59174657912531,3.0204
10,0.027246922818449912,kmeans,not_applicable,geometric,1,3day,75.33863884315545,3.1882
12,0.01173895550546495,kmeans,not_applicable,geometric,1,3day,74.15607697961775,3.4047
15,0.021032792157984308,kmeans,not_applicable,geometric,1,3day,71.85780467962972,3.7071
18,0.014525903185971679,kmeans,not_applicable,geometric,1,3day,69.1281309743775,3.9426
4,0.03790604911422918,kmeans,not_applicable,geometric,1,full,182.76260980813979,1.556
7,0.005416656538057622,kmeans,not_applicable,geometric,1,full,177.87444620927218,2.6833
9,0.037997418401905875,kmeans,not_applicable,geometric,1,full,169.2805110276221,2.9541
10,0.024984215788004627,kmeans,not_applicable,geometric,1,full,167.6927153127076,3.0759
12,0.02365347363658182,kmeans,not_applicable,geometric,1,full,163.50812614139036,3.321
15,0.021644262677517307,kmeans,not_applicable,geometric,1,full,158.5268823734028,3.6168
18,0.016003626172171388,kmeans,not_applicable,geometric,1,full,153.10439504061867,3.8767
4,0.09171858802905483,kmeans,not_applicable,geometric,7,weekly,15.3342173308292,1.9102
7,0.055588961854672776,kmeans,not_applicable,geometric,7,weekly,14.368714714375432,2.6314
9,0.04466923203381617,kmeans,not_applicable,geometric,7,weekly,13.519155311313119,3.0185
10,0.049410035572627985,kmeans,not_applicable,geometric,7,weekly,13.207486289941587,3.1194
12,0.0356351762111367,kmeans,not_applicable,geometric,7,weekly,12.857834531322473,3.5081
15,0.03889482139350639,kmeans,not_applicable,geometric,7,weekly,12.348093255023304,3.673
18,0.03757760754186177,kmeans,not_applicable,geometric,7,weekly,11.728131852320917,4.0576
4,0.03529752868277388,kmeans,not_applicable,geometric,7,3day,37.3786079544326,1.9821
7,0.022382104844825224,kmeans,not_applicable,geometric,7,3day,35.440928040702985,2.7616
9,0.02576722842091281,kmeans,not_applicable,geometric,7,3day,33.85136318799425,3.064
