clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
4,0.15877168287397445,kshape,not_applicable,geometric,1,weekly,0.21037006250439036,1.9726
7,0.18392348251930038,kshape,not_applicable,geometric,1,weekly,0.16769914920272708,2.6223
9,0.17633135964589658,kshape,not_applicable,geometric,1,weekly,0.14908660388624168,3.0084
10,0.10001872806423898,kshape,not_applicable,geometric,1,weekly,0.14763836315045215,3.1594
12,0.20079672656871086,kshape,not_applicable,geometric,1,weekly,0.13380144915599818,3.3438
15,0.13106878352821605,kshape,not_applicable,geometric,1,weekly,0.12151849917659008,3.6654
18,0.12363474623444592,kshape,not_applicable,geometric,1,weekly,0.11294596612786957,3.8646
4,0.1760819635080355,kshape,not_applicable,geometric,1,3day,0.22366176589904763,1.8667
7,0.1859204683287831,kshape,not_applicable,geometric,1,3day,0.17839572697876016,2.4917
9,0.2090211087985084,kshape,not_applicable,geometric,1,3day,0.153162111383417,2.9549
10,0.0903534981398382,kshape,not_applicable,geometric,1,3day,0.15733900527351544,3.0921
12,0.18759455000388112,kshape,not_applicable,geometric,1,3day,0.1391007742947149,3.3
15,0.19604155650987903,kshape,not_applicable,geometric,1,3day,0.12092378247968509,3.7071
18,0.11094964650624428,kshape,not_applicable,geometric,1,3day,0.11680103109968046,3.8744
4,0.19823845892879172,kshape,not_applicable,geometric,1,full,0.21618366828565888,1.9232
7,0.20149376918166814,kshape,not_applicable,geometric,1,full,0.17172290689789638,2.6252
9,0.13266539956407192,kshape,not_applicable,geometric,1,full,0.1606489615591232,2.9491
10,0.1217561265514401,kshape,not_applicable,geometric,1,full,0.15833700358734387,3.0607
12,0.1026774392149229,kshape,not_applicable,geometric,1,full,0.14450320993298912,3.2971
15,0.16865501013010414,kshape,not_applicable,geometric,1,full,0.12735512097644902,3.6235
18,0.11481527214069923,kshape,not_applicable,geometric,1,full,0.11355180700643125,3.7138
4,0.11892634141626664,kshape,not_applicable,geometric,7,weekly,0.12268144289468223,1.981
7,0.11215322010598523,kshape,not_applicable,geometric,7,weekly,0.10344541929792238,2.6383
9,0.11979821928419598,kshape,not_applicable,geometric,7,weekly,0.09308479815145919,3.0167
10,0.1203545204213668,kshape,not_applicable,geometric,7,weekly,0.08897934754142348,3.1296
12,0.1503954678601985,kshape,not_applicable,geometric,7,weekly,0.07965817833721901,3.3951
15,0.12167374462314537,kshape,not_applicable,geometric,7,weekly,0.07369763241536614,3.6428
18,0.11826927698244824,kshape,not_applicable,geometric,7,weekly,0.06582518299633937,4.0052
4,0.1298992951994184,kshape,not_applicable,geometric,7,3day,0.17814796289521762,1.9647
7,0.15562676467184317,kshape,not_applicable,geometric,7,3day,0.13929476954672942,2.7017
9,0.16999362937784418,kshape,not_applicable,geometric,7,3day,0.12440387405677956,3.0443
10,0.18327555393303008,kshape,not_applicable,geometric,7,3day,0.11791115154523732,3.1357
12,0.1764363158584272,kshape,not_applicable,geometric,7,3day,0.10938051459143477,3.4403
15,0.173250970248489,kshape,not_applicable,geometric,7,3day,0.09886904707395083,3.6603
18,0.10214660542111775,kshape,not_applicable,geometric,7,3day,0.09168068642015792,3.9495
4,0.16266004692377956,kshape,not_applicable,geometric,7,full,0.18543609901664646,1.9368
7,0.09046928809820473,kshape,not_applicable,geometric,7,full,0.15381387648995756,2.6875
9,0.17613419787559267,kshape,not_applicable,geometric,7,full,0.13587167843529666,2.9315
10,0.1610440263532404,kshape,not_applicable,geometric,7,full,0.1322124686723997,3.0823
12,0.1857149410240601,kshape,not_applicable,geometric,7,full,0.1261129128025555,3.3036
15,0.15367864755349012,kshape,not_applicable,geometric,7,full,0.11033292674868657,3.6314
18,0.10223518863330357,kshape,not_applicable,geometric,7,full,0.1042891712213004,3.9372
4,0.1031109173018908,kshape,not_applicable,geometric,10,weekly,0.11088059921189676,1.9963
7,0.11659601044162908,kshape,not_applicable,geometric,10,weekly,0.08817146503399287,2.7292
9,0.11038322410620151,kshape,not_applicable,geometric,10,weekly,0.0787320453445353,3.0474
10,0.09185641039796691,kshape,not_applicable,geometric,10,weekly,0.07540038527219915,3.1826
12,0.11575403041348876,kshape,not_applicable,geometric,10,weekly,0.06927168519194907,3.4307
15,0.07155402397778723,kshape,not_applicable,geometric,10,weekly,0.06319289267225571,3.7439
18,0.0910442250828164,kshape,not_applicable,geometric,10,weekly,0.05653483133588999,4.0394
4,0.11774478401918097,kshape,not_applicable,geometric,10,3day,0.1590707808914597,1.9253
7,0.12935375997665988,kshape,not_applicable,geometric,10,3day,0.12673413730497185,2.7185
9,0.14245945414958844,kshape,not_applicable,geometric,10,3day,0.11369524781826397,3.1056
10,0.1647031272298814,kshape,not_applicable,geometric,10,3day,0.10809496598293564,3.167
12,0.1513615237976584,kshape,not_applicable,geometric,10,3day,0.10029546637620043,3.3919
15,0.17758481265750917,kshape,not_applicable,geometric,10,3day,0.08676515734015879,3.6822
18,0.12393589179932851,kshape,not_applicable,geometric,10,3day,0.08320009144667824,3.9121
4,0.15194179399708185,kshape,not_applicable,geometric,10,full,0.17855140953330548,1.9452
7,0.16805964225148026,kshape,not_applicable,geometric,10,full,0.14808732794267135,2.5865
9,0.1621579170874109,kshape,not_applicable,geometric,10,full,0.13254500736771838,2.9682
10,0.1727612913372511,kshape,not_applicable,geometric,10,full,0.12462435637537246,2.9997
12,0.1737165050822787,kshape,not_applicable,geometric,10,full,0.12064397191514736,3.3212
15,0.1978876880015921,kshape,not_applicable,geometric,10,full,0.10420203460064639,3.5814
18,0.12723675899638268,kshape,not_applicable,geometric,10,full,0.09703553661402417,3.9539
4,0.08930311251257901,kshape,not_applicable,geometric,14,weekly,0.08829968778981165,1.9963
7,0.07893029017022278,kshape,not_applicable,geometric,14,weekly,0.0726652593639341,2.6949
9,0.09109119776358295,kshape,not_applicable,geometric,14,weekly,0.062463051879144284,3.0933
10,0.04893414186629856,kshape,not_applicable,geometric,14,weekly,0.0607707231139382,3.2371
12,0.07232388399728949,kshape,not_applicable,geometric,14,weekly,0.056255400103073845,3.4404
15,0.041294939903841255,kshape,not_applicable,geometric,14,weekly,0.0488129502094542,3.7865
18,0.10137246345420002,kshape,not_applicable,geometric,14,weekly,0.042764822989832876,3.9802
4,0.11951478608591322,kshape,not_applicable,geometric,14,3day,0.13125358485158845,1.9542
7,0.12883425776380597,kshape,not_applicable,geometric,14,3day,0.10737919127097005,2.6806
9,0.13479363696050553,kshape,not_applicable,geometric,14,3day,0.09846292886244756,3.0432
10,0.13882683444418528,kshape,not_applicable,geometric,14,3day,0.09417377826865861,3.1411
12,0.12547148604457425,kshape,not_applicable,geometric,14,3day,0.08779691164995741,3.3683
15,0.15062545437752634,kshape,not_applicable,geometric,14,3day,0.07787949426016065,3.625
18,0.12833307963727725,kshape,not_applicable,geometric,14,3day,0.0699922243310702,3.9424
