clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
2,0.08343086974979375,kshape,not_applicable,geometric,1,weekly,0.29186101139517096,0.9144
3,0.09227894195292562,kshape,not_applicable,geometric,1,weekly,0.2487250326219726,1.5558
4,0.10582718256583995,kshape,not_applicable,geometric,1,weekly,0.2191129980559986,1.9711
5,0.11388231072846507,kshape,not_applicable,geometric,1,weekly,0.19983193244464756,2.217
6,0.11996653897415152,kshape,not_applicable,geometric,1,weekly,0.18856524958408463,2.4359
7,0.12332000823310388,kshape,not_applicable,geometric,1,weekly,0.17631076666790135,2.6758
8,0.11943847695813763,kshape,not_applicable,geometric,1,weekly,0.1708660405237149,2.8247
9,0.1111516968811996,kshape,not_applicable,geometric,1,weekly,0.15801418712901652,2.9792
10,0.10432769152285408,kshape,not_applicable,geometric,1,weekly,0.15003602591601253,3.1504
2,0.09641836362522467,kshape,not_applicable,geometric,1,3day,0.3001150379324833,0.9872
3,0.1005365906753624,kshape,not_applicable,geometric,1,3day,0.26599007522835805,1.5335
4,0.13108466688022155,kshape,not_applicable,geometric,1,3day,0.2299257253401344,1.8671
5,0.13521937756012042,kshape,not_applicable,geometric,1,3day,0.2100588079868043,2.0387
6,0.14646812703444856,kshape,not_applicable,geometric,1,3day,0.1970372640150795,2.4655
7,0.13863198437045582,kshape,not_applicable,geometric,1,3day,0.18562467540272964,2.539
8,0.11079603626631251,kshape,not_applicable,geometric,1,3day,0.1816290651615207,2.722
9,0.11275503165480405,kshape,not_applicable,geometric,1,3day,0.17561296211040858,2.8676
10,0.1217140042769175,kshape,not_applicable,geometric,1,3day,0.16513835562621354,3.0539
2,0.09403492902540089,kshape,not_applicable,geometric,1,full,0.3088778085900214,0.998
3,0.13322119222420395,kshape,not_applicable,geometric,1,full,0.25767890443403707,1.5071
4,0.13901791298335406,kshape,not_applicable,geometric,1,full,0.23304290699315366,1.9199
5,0.15836794859094577,kshape,not_applicable,geometric,1,full,0.2055304480120889,2.1837
6,0.14799589142828223,kshape,not_applicable,geometric,1,full,0.19559467576619635,2.4013
7,0.15866922546865375,kshape,not_applicable,geometric,1,full,0.1884694621534645,2.5551
8,0.13574014222565597,kshape,not_applicable,geometric,1,full,0.18645632540435628,2.73
9,0.15698490149012528,kshape,not_applicable,geometric,1,full,0.17201546737767803,2.8237
10,0.13342395403304766,kshape,not_applicable,geometric,1,full,0.1667120198635153,3.0231
2,0.08243976817742714,kshape,not_applicable,geometric,7,weekly,0.1803218269227574,0.998
3,0.07425530218557864,kshape,not_applicable,geometric,7,weekly,0.16012556706112774,1.5756
4,0.07298403900644497,kshape,not_applicable,geometric,7,weekly,0.13774108331982096,1.9997
5,0.08877183628349859,kshape,not_applicable,geometric,7,weekly,0.12857306650931077,2.2654
6,0.07298348982462238,kshape,not_applicable,geometric,7,weekly,0.1173084307569709,2.5322
7,0.07433633681539849,kshape,not_applicable,geometric,7,weekly,0.11218520472790973,2.7345
8,0.0725314450320796,kshape,not_applicable,geometric,7,weekly,0.10662269518624792,2.8549
9,0.07666993402239446,kshape,not_applicable,geometric,7,weekly,0.1017687973959344,2.9884
10,0.10774245748336599,kshape,not_applicable,geometric,7,weekly,0.09823377936161434,3.2294
2,0.07887698824696741,kshape,not_applicable,geometric,7,3day,0.23620513419651556,0.9824
3,0.08114532337985554,kshape,not_applicable,geometric,7,3day,0.21201881121177726,1.526
4,0.07711382149996238,kshape,not_applicable,geometric,7,3day,0.18776940236132938,1.9864
5,0.09818005636148319,kshape,not_applicable,geometric,7,3day,0.17193070542608838,2.2711
6,0.09628291374962122,kshape,not_applicable,geometric,7,3day,0.1622299691865052,2.4575
7,0.11006057683330724,kshape,not_applicable,geometric,7,3day,0.15323281945756417,2.6934
8,0.11884543189948729,kshape,not_applicable,geometric,7,3day,0.1423522965993541,2.8535
9,0.118517257551598,kshape,not_applicable,geometric,7,3day,0.12999332927938678,3.0734
10,0.12043154537876784,kshape,not_applicable,geometric,7,3day,0.12585795134009956,3.216
