,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,min_per_cluster,max_per_cluster,min_max_delta
0,4,0.12140226686500317,kshape,not_applicable,geometric,3,weekly,0.1532,0.3964,0.2432
1,5,0.12957786336172045,kshape,not_applicable,geometric,3,weekly,0.1261,0.3018,0.1757
2,6,0.1405090232479879,kshape,not_applicable,geometric,3,weekly,0.045,0.3559,0.3108
3,7,0.14779844176355492,kshape,not_applicable,geometric,3,weekly,0.0495,0.2748,0.2252
4,9,0.09778705919777839,kshape,not_applicable,geometric,3,weekly,0.0721,0.1396,0.0676
5,12,0.14544008555999108,kshape,not_applicable,geometric,3,weekly,0.0405,0.1847,0.1441
0,4,0.14612949209449766,kshape,not_applicable,geometric,3,3day,0.1982,0.3288,0.1306
1,5,0.16165167148471665,kshape,not_applicable,geometric,3,3day,0.1216,0.2703,0.1486
2,6,0.1764226542419536,kshape,not_applicable,geometric,3,3day,0.0991,0.2613,0.1622
3,7,0.1648463427897325,kshape,not_applicable,geometric,3,3day,0.0495,0.2703,0.2207
4,9,0.17307249768080574,kshape,not_applicable,geometric,3,3day,0.0586,0.1802,0.1216
5,12,0.16289753437402216,kshape,not_applicable,geometric,3,3day,0.018,0.1577,0.1396
0,4,0.16131672477179565,kshape,not_applicable,geometric,3,full,0.1532,0.3829,0.2297
1,5,0.18423134895575327,kshape,not_applicable,geometric,3,full,0.1306,0.3784,0.2477
2,6,0.1695254469843818,kshape,not_applicable,geometric,3,full,0.0405,0.2613,0.2207
3,7,0.17731623415066725,kshape,not_applicable,geometric,3,full,0.0315,0.3243,0.2928
4,9,0.18425752436825937,kshape,not_applicable,geometric,3,full,0.0405,0.2432,0.2027
5,12,0.14225541248434767,kshape,not_applicable,geometric,3,full,0.0225,0.2027,0.1802
0,4,0.103825445515128,kshape,not_applicable,geometric,7,weekly,0.2072,0.2928,0.0856
1,5,0.11656802846592573,kshape,not_applicable,geometric,7,weekly,0.1171,0.2928,0.1757
2,6,0.12203246465900389,kshape,not_applicable,geometric,7,weekly,0.0946,0.2297,0.1351
3,7,0.13642687063467765,kshape,not_applicable,geometric,7,weekly,0.0766,0.2027,0.1261
4,9,0.14397286101448215,kshape,not_applicable,geometric,7,weekly,0.0495,0.1982,0.1486
5,12,0.14219272081550088,kshape,not_applicable,geometric,7,weekly,0.0405,0.2027,0.1622
0,4,0.12185179453964043,kshape,not_applicable,geometric,7,3day,0.1982,0.3468,0.1486
1,5,0.11341205936916444,kshape,not_applicable,geometric,7,3day,0.1351,0.3063,0.1712
