,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.44680633465495917,ahc,single,arithmetic,3,moving_average,21
1,5,0.43093670898777564,ahc,single,arithmetic,3,moving_average,21
2,6,0.24010060916917284,ahc,single,arithmetic,3,moving_average,21
3,7,0.14817419843226776,ahc,single,arithmetic,3,moving_average,21
4,4,0.23356120892344182,ahc,average,arithmetic,3,moving_average,21
5,5,0.14005888932961144,ahc,average,arithmetic,3,moving_average,21
6,6,0.09503687189477451,ahc,average,arithmetic,3,moving_average,21
7,7,0.14253473566679928,ahc,average,arithmetic,3,moving_average,21
8,4,0.1758508068692398,ahc,complete,arithmetic,3,moving_average,21
9,5,0.17082566221517964,ahc,complete,arithmetic,3,moving_average,21
10,6,0.14681007690585696,ahc,complete,arithmetic,3,moving_average,21
11,7,0.11242931049643845,ahc,complete,arithmetic,3,moving_average,21
