,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,-0.004561509255665601,ahc,single,arithmetic,3,moving_average,21
1,5,-0.008479147121973408,ahc,single,arithmetic,3,moving_average,21
2,6,-0.011481531372100614,ahc,single,arithmetic,3,moving_average,21
3,7,-0.021944405661870482,ahc,single,arithmetic,3,moving_average,21
4,4,0.30464747064434144,ahc,average,arithmetic,3,moving_average,21
5,5,0.3040049446238396,ahc,average,arithmetic,3,moving_average,21
6,6,0.3119649241064738,ahc,average,arithmetic,3,moving_average,21
7,7,0.31506519786506815,ahc,average,arithmetic,3,moving_average,21
8,4,0.22153391555980934,ahc,complete,arithmetic,3,moving_average,21
9,5,0.25044602375079805,ahc,complete,arithmetic,3,moving_average,21
10,6,0.2554457981122111,ahc,complete,arithmetic,3,moving_average,21
11,7,0.25768360650795313,ahc,complete,arithmetic,3,moving_average,21
