,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.3689169023537367,ahc,single,arithmetic,3,moving_average,14
1,5,0.3724051398722286,ahc,single,arithmetic,3,moving_average,14
2,6,0.2053590726288774,ahc,single,arithmetic,3,moving_average,14
3,7,0.1582269765030018,ahc,single,arithmetic,3,moving_average,14
4,4,0.37851865433363924,ahc,average,arithmetic,3,moving_average,14
5,5,0.24934364416288737,ahc,average,arithmetic,3,moving_average,14
6,6,0.19652499859800798,ahc,average,arithmetic,3,moving_average,14
7,7,0.12391663248732464,ahc,average,arithmetic,3,moving_average,14
8,4,0.10511151534188463,ahc,complete,arithmetic,3,moving_average,14
9,5,0.10322812383558382,ahc,complete,arithmetic,3,moving_average,14
10,6,0.09520791234642755,ahc,complete,arithmetic,3,moving_average,14
11,7,0.0945285757493261,ahc,complete,arithmetic,3,moving_average,14
