,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.20519940406108356,ahc,single,arithmetic,3,moving_average,60
1,5,-0.31559082169529556,ahc,single,arithmetic,3,moving_average,60
2,6,-0.338285403284602,ahc,single,arithmetic,3,moving_average,60
3,7,-0.3440006936500619,ahc,single,arithmetic,3,moving_average,60
4,4,0.4548749333370728,ahc,average,arithmetic,3,moving_average,60
5,5,0.45367432211077086,ahc,average,arithmetic,3,moving_average,60
6,6,0.4284929540829359,ahc,average,arithmetic,3,moving_average,60
7,7,0.41026378373303163,ahc,average,arithmetic,3,moving_average,60
8,4,0.4338504878148999,ahc,complete,arithmetic,3,moving_average,60
9,5,0.46013993316465357,ahc,complete,arithmetic,3,moving_average,60
10,6,0.4276647442488557,ahc,complete,arithmetic,3,moving_average,60
11,7,0.42822173144018877,ahc,complete,arithmetic,3,moving_average,60
