,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.2799927554087258,ahc,single,arithmetic,3,moving_average,7
1,5,0.26858061235736963,ahc,single,arithmetic,3,moving_average,7
2,6,0.24753108009085045,ahc,single,arithmetic,3,moving_average,7
3,7,0.09605192452781135,ahc,single,arithmetic,3,moving_average,7
4,4,0.18833559447706558,ahc,average,arithmetic,3,moving_average,7
5,5,0.17739561835919937,ahc,average,arithmetic,3,moving_average,7
6,6,0.1951217697024753,ahc,average,arithmetic,3,moving_average,7
7,7,0.1653277016340154,ahc,average,arithmetic,3,moving_average,7
8,4,0.14550369883188238,ahc,complete,arithmetic,3,moving_average,7
9,5,0.11681518472359566,ahc,complete,arithmetic,3,moving_average,7
10,6,0.12646542342369782,ahc,complete,arithmetic,3,moving_average,7
11,7,0.09490473537053952,ahc,complete,arithmetic,3,moving_average,7
