Distribution Model for Simulation/Out of Sample,Time Horizon,Portfolio Set,Original Portfolios,Reweighing Method,Cryptos,Clustering method,annualised_return,mean_period_return,sharpe_annualized,sharpe_period,VaR
bootstrap,126,rand_ports_equalw,Random Portfolios,equalw,Normal,No,0.19659589,0.085791504,0.985860793,0.590734887,1.464466524
bootstrap,126,minvar_ports_equalw,Minimum Variance,equalw,Normal,No,0.205088785,0.094679018,1.890677426,1.219286752,0.761359765
bootstrap,126,random_w_cryptos_random_equalw,Random Portfolios,equalw,Cryptos,random,0.180806647,0.072819172,0.650354363,0.347314471,2.027957071
bootstrap,126,minvar_w_cryptos_random_equalw,Minimum Variance,equalw,Cryptos,random,0.185009587,0.080179764,0.881474562,0.520775043,1.532380588
bootstrap,126,random_w_cryptos_kmeans_equalw,Random Portfolios,equalw,Cryptos,kmeans,0.380949649,0.156829859,1.455731835,0.832284631,2.166035597
bootstrap,126,random_w_cryptos_kshape_equalw,Random Portfolios,equalw,Cryptos,kshape,0.371189845,0.153334205,1.441869515,0.827063904,2.120884634
bootstrap,126,random_w_cryptos_ahc_equalw,Random Portfolios,equalw,Cryptos,ahc,0.372747527,0.153815989,1.438934991,0.824550308,2.133910247
bootstrap,126,minvar_w_cryptos_kmeans_equalw,Minimum Variance,equalw,Cryptos,kmeans,0.391261132,0.166892083,1.838420185,1.094267115,1.704764287
bootstrap,126,minvar_w_cryptos_kshape_equalw,Minimum Variance,equalw,Cryptos,kshape,0.391324069,0.166914699,1.838463029,1.094269945,1.704671403
bootstrap,126,minvar_w_cryptos_ahc_equalw,Minimum Variance,equalw,Cryptos,ahc,0.341214194,0.147766307,1.742792369,1.052938568,1.552343578
bootstrap,189,rand_ports_equalw,Random Portfolios,equalw,Normal,No,0.186046373,0.131835906,0.923054213,0.747056163,1.477312922
bootstrap,189,minvar_ports_equalw,Minimum Variance,equalw,Normal,No,0.201349496,0.14543055,1.846374655,1.532657964,0.767765896
bootstrap,189,random_w_cryptos_random_equalw,Random Portfolios,equalw,Cryptos,random,0.162158834,0.111728964,0.564347539,0.438040893,2.045292445
