,return_mode,clusters,window_size,method,linkage,df_mode,min_per_cluster,max_per_cluster,min_max_delta
0,arithmetic,4,10,ahc,single,3day,0.0045,0.9685,0.964
0,arithmetic,5,10,ahc,single,3day,0.0045,0.955,0.9505
0,arithmetic,6,10,ahc,single,3day,0.0045,0.9505,0.9459
0,arithmetic,7,10,ahc,single,3day,0.0045,0.9459,0.9414
0,arithmetic,4,10,ahc,average,3day,0.0045,0.955,0.9505
0,arithmetic,5,10,ahc,average,3day,0.0045,0.9505,0.9459
0,arithmetic,6,10,ahc,average,3day,0.0045,0.9189,0.9144
0,arithmetic,4,10,ahc,complete,3day,0.0135,0.9279,0.9144
0,arithmetic,4,10,ahc,single,full,0.0045,0.955,0.9505
0,arithmetic,5,10,ahc,single,full,0.0045,0.9505,0.9459
0,arithmetic,4,10,ahc,average,full,0.018,0.9279,0.9099
0,arithmetic,5,10,ahc,average,full,0.0045,0.9279,0.9234
0,arithmetic,6,10,ahc,average,full,0.0045,0.9279,0.9234
0,arithmetic,4,10,ahc,complete,full,0.018,0.9279,0.9099
0,arithmetic,4,10,ahc,single,weekly,0.0045,0.9685,0.964
0,arithmetic,5,10,ahc,single,weekly,0.0045,0.955,0.9505
0,arithmetic,4,10,ahc,average,weekly,0.0045,0.9505,0.9459
0,arithmetic,5,10,ahc,average,weekly,0.0045,0.9279,0.9234
0,arithmetic,6,10,ahc,average,weekly,0.0045,0.9144,0.9099
0,arithmetic,7,10,ahc,average,weekly,0.0045,0.9144,0.9099
0,arithmetic,4,10,ahc,complete,weekly,0.0135,0.4324,0.4189
0,arithmetic,5,10,ahc,complete,weekly,0.0135,0.4324,0.4189
0,arithmetic,6,10,ahc,complete,weekly,0.0135,0.4324,0.4189
0,arithmetic,4,14,ahc,single,3day,0.0045,0.955,0.9505
0,arithmetic,5,14,ahc,single,3day,0.0045,0.955,0.9505
0,arithmetic,6,14,ahc,single,3day,0.0045,0.9505,0.9459
0,arithmetic,7,14,ahc,single,3day,0.0045,0.9505,0.9459
0,arithmetic,4,14,ahc,average,3day,0.0045,0.955,0.9505
0,arithmetic,5,14,ahc,average,3day,0.0045,0.9279,0.9234
0,arithmetic,6,14,ahc,average,3day,0.0045,0.9279,0.9234
0,arithmetic,4,14,ahc,single,full,0.0045,0.955,0.9505
0,arithmetic,5,14,ahc,single,full,0.0045,0.9505,0.9459
0,arithmetic,6,14,ahc,single,full,0.0045,0.9459,0.9414
0,arithmetic,7,14,ahc,single,full,0.0045,0.9414,0.9369
0,arithmetic,4,14,ahc,average,full,0.0045,0.955,0.9505
0,arithmetic,5,14,ahc,average,full,0.0045,0.9279,0.9234
0,arithmetic,4,14,ahc,single,weekly,0.0045,0.9595,0.955
0,arithmetic,5,14,ahc,single,weekly,0.0045,0.955,0.9505
0,arithmetic,4,14,ahc,average,weekly,0.0135,0.8604,0.8468
0,arithmetic,5,14,ahc,average,weekly,0.0135,0.8423,0.8288
0,arithmetic,6,14,ahc,average,weekly,0.0135,0.8288,0.8153
0,arithmetic,7,14,ahc,average,weekly,0.0045,0.8288,0.8243
0,arithmetic,4,21,ahc,single,3day,0.0045,0.955,0.9505
0,arithmetic,5,21,ahc,single,3day,0.0045,0.955,0.9505
0,arithmetic,6,21,ahc,single,3day,0.0045,0.955,0.9505
0,arithmetic,4,21,ahc,average,3day,0.0045,0.955,0.9505
0,arithmetic,4,21,ahc,complete,3day,0.0135,0.6847,0.6712
0,arithmetic,5,21,ahc,complete,3day,0.0135,0.5,0.4865
0,arithmetic,4,21,ahc,single,full,0.0045,0.955,0.9505
0,arithmetic,5,21,ahc,single,full,0.0045,0.955,0.9505
0,arithmetic,6,21,ahc,single,full,0.0045,0.9505,0.9459
0,arithmetic,4,21,ahc,average,full,0.0045,0.955,0.9505
0,arithmetic,5,21,ahc,average,full,0.0045,0.9324,0.9279
0,arithmetic,6,21,ahc,average,full,0.0045,0.9234,0.9189
0,arithmetic,4,21,ahc,complete,full,0.018,0.9414,0.9234
0,arithmetic,5,21,ahc,complete,full,0.018,0.5631,0.545
0,arithmetic,4,21,ahc,average,weekly,0.018,0.7928,0.7748
0,arithmetic,5,21,ahc,average,weekly,0.0045,0.7883,0.7838
0,arithmetic,6,21,ahc,average,weekly,0.0045,0.7883,0.7838
0,arithmetic,7,21,ahc,average,weekly,0.0045,0.7883,0.7838
0,arithmetic,4,21,ahc,complete,weekly,0.018,0.7613,0.7432
0,arithmetic,5,21,ahc,complete,weekly,0.018,0.464,0.4459
0,arithmetic,6,21,ahc,complete,weekly,0.018,0.2973,0.2793
0,arithmetic,7,21,ahc,complete,weekly,0.018,0.2973,0.2793
0,arithmetic,4,30,ahc,single,3day,0.0045,0.9595,0.955
0,arithmetic,5,30,ahc,single,3day,0.0045,0.9595,0.955
0,arithmetic,6,30,ahc,single,3day,0.0045,0.955,0.9505
0,arithmetic,4,30,ahc,average,3day,0.0045,0.955,0.9505
0,arithmetic,5,30,ahc,average,3day,0.0045,0.955,0.9505
0,arithmetic,6,30,ahc,average,3day,0.0045,0.9505,0.9459
0,arithmetic,7,30,ahc,average,3day,0.0045,0.9324,0.9279
0,arithmetic,4,30,ahc,complete,3day,0.0135,0.4685,0.455
0,arithmetic,5,30,ahc,complete,3day,0.0135,0.4685,0.455
0,arithmetic,6,30,ahc,complete,3day,0.0135,0.2928,0.2793
0,arithmetic,7,30,ahc,complete,3day,0.0135,0.2928,0.2793
0,arithmetic,4,30,ahc,single,full,0.0045,0.955,0.9505
0,arithmetic,5,30,ahc,single,full,0.0045,0.955,0.9505
0,arithmetic,4,30,ahc,average,full,0.0045,0.955,0.9505
0,arithmetic,4,30,ahc,average,weekly,0.0045,0.9505,0.9459
0,arithmetic,5,30,ahc,average,weekly,0.0045,0.7387,0.7342
0,arithmetic,6,30,ahc,average,weekly,0.0045,0.7387,0.7342
0,arithmetic,7,30,ahc,average,weekly,0.0045,0.7387,0.7342
0,arithmetic,4,30,ahc,complete,weekly,0.0991,0.5135,0.4144
0,arithmetic,5,30,ahc,complete,weekly,0.0135,0.5,0.4865
0,arithmetic,6,30,ahc,complete,weekly,0.0135,0.3423,0.3288
0,arithmetic,7,30,ahc,complete,weekly,0.0135,0.3243,0.3108
0,arithmetic,4,3,ahc,single,3day,0.0045,0.964,0.9595
0,arithmetic,5,3,ahc,single,3day,0.0045,0.9595,0.955
0,arithmetic,6,3,ahc,single,3day,0.0045,0.9595,0.955
0,arithmetic,7,3,ahc,single,3day,0.0045,0.955,0.9505
0,arithmetic,4,3,ahc,average,3day,0.0045,0.9099,0.9054
0,arithmetic,5,3,ahc,average,3day,0.0045,0.9099,0.9054
