timestamp,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,ADAUSDT,LINKUSDT,XLMUSDT,AVAXUSDT,SHIBUSDT,DOTUSDT,LTCUSDT,BCHUSDT,UNIUSDT,NEARUSDT,ICPUSDT,ETCUSDT,AAVEUSDT,RNDRUSDT,ATOMUSDT,MATICUSDT,ALGOUSDT,EOSUSDT,MKRUSDT,QNTUSDT,STXUSDT,INJUSDT,GRTUSDT,XTZUSDT,CRVUSDT,SANDUSDT,ZECUSDT,JASMYUSDT,MANAUSDT,AXSUSDT,CHZUSDT,COMPUSDT,1INCHUSDT,SNXUSDT,ROSEUSDT,LPTUSDT
2022-01-01,47722.65,3765.54,0.8507,179.06,0.1732,1.38,20.76,0.2765,114.13,3.415e-05,28.6,150.8,444.8,17.48,15.175,25.62,34.88,266.4,4.8,36.36,2.572,1.7414,3.157,2419.0,179.8,2.285,8.53,0.6645,4.746,6.203,5.97,150.3,0.0862,3.3477,94.1,0.2951,210.4,2.534,5.981,0.44563,41.05
2022-01-02,47286.18,3828.27,0.8586,176.35,0.1745,1.377,21.87,0.2921,113.03,3.401e-05,29.69,151.2,447.7,18.4,14.384,27.31,35.41,265.3,4.572,35.53,2.55,1.6734,3.251,2471.0,187.2,2.398,8.551,0.6765,4.654,6.041,5.9119,153.0,0.0843,3.3381,96.38,0.3116,210.4,2.554,6.237,0.41586,40.7
2022-01-03,46446.1,3765.89,0.8324,170.15,0.1703,1.319,23.72,0.2902,108.11,3.304e-05,30.11,148.5,434.7,18.46,16.485,29.26,34.72,267.2,5.262,39.25,2.432,1.7949,3.195,2391.0,179.0,2.29,8.276,0.6581,4.803,6.518,5.688,150.5,0.0855,3.2509,94.39,0.3004,220.6,2.562,7.173,0.426,41.84
2022-01-04,45832.01,3785.11,0.8228,167.72,0.1684,1.309,23.42,0.2791,103.33,3.243e-05,28.69,146.5,427.1,18.21,16.028,33.79,34.14,252.1,4.813,42.1,2.365,1.6725,3.168,2446.0,179.7,2.342,8.133,0.6787,5.043,6.078,5.4624,147.3,0.0839,3.1755,92.89,0.3025,222.7,2.478,6.593,0.40237,42.8
2022-01-05,43451.13,3540.63,0.7726,154.52,0.159,1.23,25.24,0.2661,97.42,3.038e-05,26.72,135.4,399.4,17.11,15.309,30.64,31.94,230.3,4.278,38.66,2.182,1.5554,2.896,2238.0,166.2,2.238,7.578,0.6301,4.509,5.403,5.005,136.8,0.0767,2.9185,80.22,0.2789,204.3,2.321,6.373,0.38414,42.41
2022-01-06,43082.31,3406.81,0.7791,150.26,0.1599,1.28,25.38,0.2676,95.11,3.075e-05,26.72,135.9,399.8,17.06,15.935,30.59,31.63,221.0,4.172,40.08,2.251,1.5633,2.922,2244.0,178.3,2.19,7.43,0.6364,4.452,5.403,5.2359,137.4,0.0768,3.3912,79.02,0.2813,204.0,2.347,5.953,0.39731,41.85
2022-01-07,41566.48,3199.24,0.7634,136.45,0.155,1.21,25.98,0.2569,86.74,2.901e-05,24.9,131.4,385.7,15.76,15.057,30.23,30.45,211.7,3.686,38.58,2.053,1.4458,2.839,2132.0,177.4,2.095,6.946,0.5935,4.253,5.003,4.8529,139.6,0.0749,3.0575,73.62,0.2641,194.6,2.184,5.402,0.3578,37.11
2022-01-08,41679.74,3080.95,0.7452,142.14,0.1509,1.181,25.32,0.255,83.9,2.772e-05,23.99,129.4,372.9,14.92,13.82,32.92,29.35,212.3,3.58,35.87,1.985,1.385,2.751,2047.0,172.8,2.048,6.854,0.5733,4.005,4.602,4.6154,143.6,0.0731,2.935,70.33,0.2555,188.1,2.127,5.023,0.34321,35.0
2022-01-09,41864.62,3151.97,0.753,140.82,0.1505,1.17,27.54,0.2609,89.33,2.825e-05,24.63,130.9,376.8,15.8,13.519,36.15,29.73,209.5,3.763,34.98,2.114,1.4004,2.793,2122.0,170.5,2.064,6.74,0.5835,4.217,4.503,4.7157,144.1,0.0721,2.9404,71.92,0.261,194.0,2.151,5.094,0.33852,37.06
2022-01-10,41822.49,3082.68,0.7399,135.86,0.1431,1.123,27.98,0.2529,84.36,2.669e-05,23.72,126.5,363.6,15.11,15.474,34.31,28.48,199.9,3.499,37.86,2.071,1.3623,2.702,1987.0,166.5,1.982,6.816,0.5424,4.026,4.317,4.4529,141.3,0.0688,2.8126,68.38,0.251,183.3,2.077,4.87,0.3612,33.36
