timestamp,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,ADAUSDT,LINKUSDT,XLMUSDT,AVAXUSDT,SHIBUSDT,DOTUSDT,LTCUSDT,BCHUSDT,UNIUSDT,NEARUSDT,ICPUSDT,ETCUSDT,AAVEUSDT,RNDRUSDT,ATOMUSDT,MATICUSDT,ALGOUSDT,EOSUSDT,MKRUSDT,QNTUSDT,STXUSDT,INJUSDT,GRTUSDT,XTZUSDT,CRVUSDT,SANDUSDT,ZECUSDT,JASMYUSDT,MANAUSDT,AXSUSDT,CHZUSDT,COMPUSDT,1INCHUSDT,SNXUSDT,ROSEUSDT,LPTUSDT
2024-01-01,44179.55,2352.04,0.6294,109.91,0.09199,0.6232,15.548,0.132,41.94,1.068e-05,8.595,74.72,267.8,7.6,3.794,12.936,22.5,116.17,4.74,11.201,1.0157,0.2387,0.887,1652.0,140.6,1.5913,39.733,0.2175,1.101,0.6295,0.6037,27.78,0.006856,0.5393,9.26,0.08975,61.24,0.4878,4.083,0.13944,8.27
2024-01-02,44946.91,2355.34,0.6246,106.73,0.0911,0.605,15.166,0.1291,40.61,1.056e-05,8.411,72.97,257.1,7.175,3.923,13.967,21.97,110.28,4.655,10.963,0.9691,0.2268,0.865,1830.0,135.9,1.545,37.062,0.2073,1.066,0.6288,0.5868,27.59,0.006442,0.529,8.94,0.08758,58.86,0.4731,3.898,0.13464,8.51
2024-01-03,42845.23,2209.72,0.5823,98.52,0.08201,0.5569,14.148,0.1205,36.8,9.57e-06,7.626,65.24,234.0,6.433,3.771,14.398,20.03,102.66,4.423,9.922,0.8539,0.2047,0.768,1806.0,125.2,1.5539,34.169,0.1894,0.977,0.5781,0.5169,25.03,0.005822,0.4676,7.95,0.08054,52.58,0.4249,3.49,0.12436,7.11
2024-01-04,44151.1,2267.11,0.5868,104.91,0.08401,0.5699,14.526,0.1216,38.72,9.99e-06,7.879,66.41,239.5,6.53,3.91,13.864,20.47,103.77,4.375,10.268,0.883,0.2073,0.772,1776.0,128.6,1.7181,38.389,0.1987,0.975,0.5826,0.5376,24.17,0.005758,0.4749,8.38,0.08172,53.27,0.4561,3.624,0.12845,7.38
2024-01-05,44145.11,2268.78,0.5757,99.94,0.08267,0.5414,14.091,0.1191,36.46,9.81e-06,7.45,66.0,239.3,6.434,3.552,13.306,20.13,102.94,4.012,10.328,0.8525,0.1965,0.748,1741.0,121.3,1.6099,38.508,0.1846,0.94,0.5755,0.5125,23.54,0.005576,0.4613,7.97,0.0799,52.17,0.4835,3.429,0.12343,7.11
2024-01-06,43968.32,2240.78,0.5679,93.77,0.08058,0.5227,13.436,0.12,34.61,9.61e-06,7.133,65.64,236.1,6.308,3.479,12.007,19.88,99.43,3.815,9.829,0.8281,0.1897,0.739,1700.0,118.9,1.5713,40.0,0.1719,0.922,0.5448,0.499,23.08,0.005362,0.4532,8.12,0.07843,50.44,0.4651,3.462,0.12021,6.96
2024-01-07,43929.02,2221.42,0.5515,89.44,0.07824,0.4945,13.151,0.1152,33.64,9.02e-06,6.899,64.27,232.5,6.004,3.215,11.276,19.27,94.94,3.635,9.41,0.8011,0.1782,0.702,1752.0,112.8,1.6657,36.466,0.1635,0.873,0.5176,0.4692,21.92,0.005046,0.4266,7.5,0.07525,48.09,0.4198,3.305,0.1135,6.42
2024-01-08,46951.04,2330.44,0.5776,97.88,0.0813,0.5412,14.139,0.1195,36.08,9.58e-06,7.483,67.73,253.9,6.24,3.416,13.712,20.32,99.0,4.058,9.95,0.8416,0.1949,0.739,1818.0,119.2,2.0241,42.251,0.1717,0.937,0.5484,0.5024,21.25,0.00546,0.4533,7.92,0.07747,50.78,0.4443,3.359,0.12367,6.96
2024-01-09,46110.0,2344.29,0.5669,99.36,0.07923,0.5124,13.716,0.1165,34.65,9.67e-06,7.129,66.99,244.8,6.011,3.222,12.742,21.22,96.46,3.86,9.666,0.8066,0.1857,0.709,1847.0,116.4,1.8266,39.803,0.1604,0.891,0.5213,0.4776,19.66,0.005281,0.4339,7.48,0.07509,49.96,0.4138,3.326,0.11661,6.61
2024-01-10,46653.99,2584.38,0.6008,102.0,0.08307,0.566,15.072,0.1208,38.53,9.98e-06,7.991,70.1,254.7,6.568,3.603,13.899,26.41,107.08,4.234,10.385,0.8992,0.1994,0.754,2038.0,127.5,1.8478,41.02,0.1778,0.944,0.5648,0.5216,22.31,0.00577,0.4656,8.18,0.07963,53.55,0.4578,3.865,0.1286,7.34
