,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy,silhouette_norm,entropy_norm_clusters,ari_mean,nmi_mean
0,2,0.1676272700746212,kshape,not_applicable,geometric,1,weekly,0.0416250097018786,0.7121,0.6124943413260071,0.7121,0.4719682546768925,0.41861030320272286
19,3,0.1654496370507179,kshape,not_applicable,geometric,7,weekly,0.0203368093230102,1.3413,0.6087060926971399,0.8462660784653959,0.24673897642471557,0.29495652691711505
24,2,0.2210135170697423,kshape,not_applicable,geometric,7,3day,0.034803939470674,0.6594,0.7053659936015253,0.6594,0.3916894157878223,0.3253454497856051
32,4,0.1067296466376229,kshape,not_applicable,geometric,7,full,0.0303328600530127,1.2811,0.506555766757107,0.64055,0.37175070737849225,0.451247457055714
37,3,0.2579876911112593,kshape,not_applicable,geometric,10,weekly,0.0194149241512064,1.3146,0.7696869157122718,0.8294202540450379,0.2681859277779831,0.3047374955122367
38,4,0.1325038371515562,kshape,not_applicable,geometric,10,weekly,0.018317149294729,1.8163,0.5513930009479976,0.90815,0.203312432055621,0.31174104220957494
40,6,0.114960594121463,kshape,not_applicable,geometric,10,weekly,0.0127811646292738,2.0598,0.520874467464559,0.7968394123417089,0.19980409563756368,0.4193703037470337
46,6,0.1049734855058348,kshape,not_applicable,geometric,10,3day,0.0235758552078132,2.0193,0.5035007180291806,0.7811718736487098,0.22410380338478697,0.4140291146487965
49,3,0.1096496754800849,kshape,not_applicable,geometric,10,full,0.0318045199313606,1.0383,0.511635500182017,0.6550943631332443,0.3683153659662063,0.3594356469354822
55,3,0.2938387724710438,kshape,not_applicable,geometric,14,weekly,0.0195385076727202,1.3672,0.8320540860820396,0.8626071590828966,0.22711772552283313,0.24819074778382463
56,4,0.2125264673137114,kshape,not_applicable,geometric,14,weekly,0.0164019137018843,1.5414,0.6906017728864193,0.7707,0.19253332577739588,0.3080251283185002
57,5,0.1213047639970781,kshape,not_applicable,geometric,14,weekly,0.0147734833563666,1.8136,0.5319108967291745,0.7810750057219057,0.18221169480113533,0.3464947912961811
58,6,0.2180272645637195,kshape,not_applicable,geometric,14,weekly,0.0113176550703988,2.0598,0.7001710563291677,0.7968394123417089,0.17432325889690933,0.40614011715869125
59,7,0.1107513921780173,kshape,not_applicable,geometric,14,weekly,0.0093070977916465,2.3572,0.5135520658863988,0.8396515814510299,0.17536941582696378,0.4555073423101735
61,3,0.1370087790114705,kshape,not_applicable,geometric,14,3day,0.0216152158239415,1.3815,0.559229876875493,0.8716294545589685,0.2505102323031968,0.2761882829622256
66,2,0.1795420417714753,kshape,not_applicable,geometric,14,full,0.0341713837778376,0.7121,0.6332214872906512,0.7121,0.49730006693537,0.4061295479291037
72,2,0.2711730742585433,kshape,not_applicable,geometric,30,weekly,0.0391371255629384,0.7121,0.7926244396570801,0.7121,0.01756031712508214,0.053158405450797926
73,3,0.1788188853484696,kshape,not_applicable,geometric,30,weekly,0.0328250748733906,1.2169,0.6319634716847906,0.7677784171211066,0.05491977578295999,0.10398176783739137
77,7,0.1380292694587959,kshape,not_applicable,geometric,30,weekly,0.0103014434224808,2.6225,0.5610051399686854,0.9341533481907881,0.05409244623529231,0.3417182019721531
78,2,0.3009944637226156,kshape,not_applicable,geometric,30,3day,0.027425228531012,0.6006,0.8445022521755969,0.6006,0.25663607185902476,0.21598091260803345
79,3,0.3091738519627715,kshape,not_applicable,geometric,30,3day,0.0173781116940697,1.3374,0.8587312595177994,0.8438054524264672,0.21775859671696,0.2503240806514544
80,4,0.1993680521908629,kshape,not_applicable,geometric,30,3day,0.0138625199422259,1.61,0.6677111629902455,0.805,0.2153576481277414,0.3303362312486572
81,5,0.2499507611686507,kshape,not_applicable,geometric,30,3day,0.0112528392526085,2.0242,0.7557057313248234,0.8717754888521623,0.1538332946171554,0.3440278266927088
82,6,0.1998847214594154,kshape,not_applicable,geometric,30,3day,0.0098580571979351,2.0598,0.668609969918083,0.7968394123417089,0.18892531991982875,0.4174775056014621
88,6,0.1097913163462259,kshape,not_applicable,geometric,30,full,0.0203358675739329,2.0721,0.5118819011187499,0.8015977018706936,0.26745768493485056,0.43389409064915
90,2,0.1161084363425057,kshape,not_applicable,geometric,60,weekly,0.0264810398307535,0.7593,0.5228712739385106,0.7593,0.05392004339044844,0.06778836820512114
96,2,0.2375542458855365,kshape,not_applicable,geometric,60,3day,0.0427149904805354,0.839,0.734140535762252,0.839,0.09612560252537873,0.08827522775435821
97,3,0.1893455866298453,kshape,not_applicable,geometric,60,3day,0.033229374038302,1.1835,0.6502759059921042,0.7467053633518199,0.10249899744455884,0.1661026296685143
98,4,0.1186640246105335,kshape,not_applicable,geometric,60,3day,0.0296140568089881,1.8032,0.5273170201436964,0.9016,0.08543023285294364,0.20311836522422497
99,5,0.2137310473161315,kshape,not_applicable,geometric,60,3day,0.0226162997244109,2.1622,0.692697281400682,0.9312088538662905,0.10715174931776347,0.2800041020612876
100,6,0.2104914285710837,kshape,not_applicable,geometric,60,3day,0.0132072080109394,2.3494,0.687061583771987,0.9088719853168321,0.10932248481188293,0.3221735987685254
101,7,0.2445370078026121,kshape,not_applicable,geometric,60,3day,0.0107197787269384,2.385,0.7462878709503696,0.8495541412526328,0.09126934457422806,0.3599954801915717
103,3,0.1994509360989283,kshape,not_applicable,geometric,60,full,0.0170061762400443,1.3146,0.6678553492914439,0.8294202540450379,0.16885947519101766,0.2246440142535432
106,6,0.1037322935637573,kshape,not_applicable,geometric,60,full,0.0121946492901429,2.3204,0.5013415187420996,0.8976532539070302,0.18410218449628427,0.3914190971741679
