,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy,silhouette_norm,entropy_norm_clusters,total_score,ari_mean,nmi_mean
126,4,0.1393464497534094,ahc,average,geometric,10,weekly,,1.3485,0.7163422151005042,0.67425,0.6952961075502522,0.08688328077514262,0.08030682744561449
196,4,0.1309235934841643,ahc,complete,geometric,14,weekly,,1.8867,0.7006342675131056,0.94335,0.8219921337565528,0.044557886539817605,0.07250617961809314
252,4,0.2821373389334837,ahc,average,geometric,30,weekly,,1.0081,0.9826357064650045,0.50405,0.7433428532325023,0.03352877287726392,0.06847156896952533
253,7,0.1558686776747627,ahc,average,geometric,30,weekly,,1.8419,0.747154837555349,0.656098017934266,0.7016264277448074,0.09417682536787864,0.1518183554534025
254,9,0.1433592840185851,ahc,average,geometric,30,weekly,,1.9282,0.7238258273454923,0.6082793754182422,0.6660526013818673,0.08333411846559645,0.18532354574958643
255,10,0.1482082738271347,ahc,average,geometric,30,weekly,,1.9998,0.7328688022378269,0.6019997853288296,0.6674342937833282,0.08694162502571331,0.20404407512804318
256,12,0.1424181814764236,ahc,average,geometric,30,weekly,,2.0279,0.7220707470100225,0.5656683994859262,0.6438695732479743,0.0870877102450671,0.2345028628464688
257,15,0.146897435453804,ahc,average,geometric,30,weekly,,2.8251,0.730424194398677,0.7231070158902096,0.7267656051444433,0.09952480050295769,0.2773078030774274
259,4,0.1821271589697791,ahc,complete,geometric,30,weekly,,1.7448,0.7961247872638426,0.8724,0.8342623936319213,0.07233163885860798,0.08820674689230798
261,9,0.1338652448307818,ahc,complete,geometric,30,weekly,,2.7389,0.70612021001242,0.8640267510284325,0.7850734805204262,0.09287476648513074,0.19651443702392685
273,4,0.1497385676850315,ahc,average,geometric,30,3day,,1.3619,0.7357226768552689,0.68095,0.7083363384276344,0.08263364964148975,0.09369914256204243
294,4,0.1439579520841399,ahc,average,geometric,30,full,,1.0955,0.7249422950015201,0.54775,0.63634614750076,0.06415847996981959,0.0697694444701714
315,4,0.2914483547647041,ahc,average,geometric,60,weekly,,1.4625,1.0,0.73125,0.865625,0.020046926668408536,0.043100533950682106
316,7,0.2081361476970993,ahc,average,geometric,60,weekly,,2.0439,0.8446294534566807,0.7280518697300864,0.7863406615933836,0.04115125915378516,0.10259832332545486
317,9,0.1992249333779974,ahc,average,geometric,60,weekly,,2.2197,0.8280107574953552,0.7002373870012821,0.7641240722483187,0.030924030537929772,0.13399061864709882
318,10,0.1901868655952832,ahc,average,geometric,60,weekly,,2.3318,0.8111554900558986,0.7019417438892713,0.756548616972585,0.03811554580946607,0.15235956131632536
319,12,0.1901244790290763,ahc,average,geometric,60,weekly,,2.4494,0.8110391441417799,0.6832428510778774,0.7471409976098287,0.059143809839027374,0.19133030874653154
320,15,0.1866779481298228,ahc,average,geometric,60,weekly,,2.5747,0.8046116419984154,0.6590151264778319,0.7318133842381236,0.06221517788585136,0.24807718349036395
321,18,0.165508340635408,ahc,average,geometric,60,weekly,,2.698,0.7651320314793258,0.6470140348008186,0.7060730331400722,0.06367948259890888,0.2915786758867307
