,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy,silhouette_norm,entropy_norm_clusters,ari_mean,nmi_mean
0,2,0.0834308697497937,kshape,not_applicable,geometric,1,weekly,0.2918610113951709,0.9144,0.8186184872775982,0.9144,0.29081338150706043,0.2278557574486325
1,3,0.0922789419529256,kshape,not_applicable,geometric,1,weekly,0.2487250326219726,1.5558,0.8399490533904195,0.9816005106064736,0.3513815085020696,0.31503710322135303
2,4,0.1058271825658399,kshape,not_applicable,geometric,1,weekly,0.2191129980559986,1.9711,0.8726105908950392,0.98555,0.3616378955924633,0.3540050495058691
3,5,0.113882310728465,kshape,not_applicable,geometric,1,weekly,0.1998319324446475,2.217,0.89202956034686,0.9548099292487126,0.48681714642454577,0.46349044658787864
4,6,0.1199665389741515,kshape,not_applicable,geometric,1,weekly,0.1885652495840846,2.4359,0.9066971658840495,0.9423347531426199,0.37532936336152734,0.4372094953366049
5,7,0.1233200082331038,kshape,not_applicable,geometric,1,weekly,0.1763107666679013,2.6758,0.9147815707231144,0.9531391912636458,0.505862033656646,0.5625403243397538
6,8,0.1194384769581376,kshape,not_applicable,geometric,1,weekly,0.1708660405237149,2.8247,0.9054241358402544,0.9415666666666667,0.4431896536610903,0.5348380384824367
7,9,0.1111516968811996,kshape,not_applicable,geometric,1,weekly,0.1580141871290165,2.9792,0.8854467095449572,0.9398329609200431,0.43142191008986697,0.5491487655940213
8,10,0.104327691522854,kshape,not_applicable,geometric,1,weekly,0.1500360259160125,3.1504,0.8689956799750456,0.9483648983398064,0.5139792302485233,0.6155276260210403
9,2,0.0964183636252246,kshape,not_applicable,geometric,1,3day,0.3001150379324833,0.9872,0.8499281997652156,0.9872,0.40125730030896467,0.33009443280229744
10,3,0.1005365906753624,kshape,not_applicable,geometric,1,3day,0.265990075228358,1.5335,0.859856251022469,0.9675307771018301,0.4477607897426191,0.41464843805920093
11,4,0.1310846668802215,kshape,not_applicable,geometric,1,3day,0.2299257253401344,1.8671,0.933500288293842,0.93355,0.5115342598260417,0.5213711706055024
12,5,0.1352193775601204,kshape,not_applicable,geometric,1,3day,0.2100588079868043,2.0387,0.9434680776032187,0.8780202989442265,0.7652287829225157,0.7395192702825468
13,6,0.1464681270344485,kshape,not_applicable,geometric,1,3day,0.1970372640150795,2.4655,0.9705860970813811,0.9537855962367623,0.5509269124185139,0.5933924835898259
14,7,0.1386319843704558,kshape,not_applicable,geometric,1,3day,0.1856246754027296,2.539,0.9516950488025673,0.9044100480672683,0.540173701976566,0.6124602338077292
15,8,0.1107960362663125,kshape,not_applicable,geometric,1,3day,0.1816290651615207,2.722,0.8845892976607177,0.9073333333333333,0.5458280130495642,0.6180667291605428
16,9,0.112755031654804,kshape,not_applicable,geometric,1,3day,0.1756129621104085,2.8676,0.8893119626310757,0.9046270806707557,0.5333278113130482,0.630370702409862
17,10,0.1217140042769175,kshape,not_applicable,geometric,1,3day,0.1651383556262135,3.0539,0.9109098828821451,0.9193155037582322,0.5644631453073901,0.6888001988974578
18,2,0.0940349290254008,kshape,not_applicable,geometric,1,full,0.3088778085900214,0.998,0.844182314318086,0.998,0.5882831883146942,0.5144174688427814
19,3,0.1332211922242039,kshape,not_applicable,geometric,1,full,0.257678904434037,1.5071,0.9386509351302685,0.9508742316075436,0.7830823773396345,0.7289498495598619
20,4,0.139017912983354,kshape,not_applicable,geometric,1,full,0.2330429069931536,1.9199,0.9526254295231655,0.95995,0.6833411430201464,0.6727237698256072
21,5,0.1583679485909457,kshape,not_applicable,geometric,1,full,0.2055304480120889,2.1837,0.9992736941775927,0.9404683998648684,0.8028011476726098,0.7948099724752565
22,6,0.1479958914282822,kshape,not_applicable,geometric,1,full,0.1955946757661963,2.4013,0.9742691682249404,0.9289496460123048,0.6640537314770993,0.6663886777020132
23,7,0.1586692254686537,kshape,not_applicable,geometric,1,full,0.1884694621534645,2.5551,1.0,0.9101449837797074,0.6541609614909422,0.7311990336936111
24,8,0.1357401422256559,kshape,not_applicable,geometric,1,full,0.1864563254043562,2.73,0.9447235154966271,0.91,0.5859504846931176,0.6914775028065552
