,clusters,silhouette_score,method,linkage,return_mode,window_size/span,df_mode,window_size,min_per_cluster,max_per_cluster,min_max_delta,silhouette_norm,delta_norm,total_score
240,4,0.3811441895655015,ahc,single,geometric,10,3day,10.0,0.0045,0.9685,0.964,0.7552625535505523,0.01893740136770128,0.3870999774591268
241,5,0.3314750828102391,ahc,single,geometric,10,3day,10.0,0.0045,0.964,0.9595,0.7035305241742891,0.02367175170962632,0.3636011379419577
242,6,0.3315745594291597,ahc,single,geometric,10,3day,10.0,0.0045,0.955,0.9505,0.7036341323868871,0.03314045239347707,0.3683872923901821
243,7,0.2327836662831349,ahc,single,geometric,10,3day,10.0,0.0045,0.9505,0.9459,0.6007401260275728,0.037980010520778484,0.3193600682741756
244,4,0.2778511363823293,ahc,average,geometric,10,3day,10.0,0.0045,0.955,0.9505,0.6476793975263173,0.03314045239347707,0.3404099249598972
245,5,0.1936263699262455,ahc,average,geometric,10,3day,10.0,0.0045,0.955,0.9505,0.5599564973746369,0.03314045239347707,0.296548474884057
246,6,0.1431013869872703,ahc,average,geometric,10,3day,10.0,0.0045,0.9279,0.9234,0.5073330444401358,0.06165176223040503,0.2844924033352704
247,7,0.1102992523321324,ahc,average,geometric,10,3day,10.0,0.0045,0.9189,0.9144,0.473168528417227,0.07112046291425556,0.2721444956657413
248,4,0.1292059084291024,ahc,complete,geometric,10,3day,10.0,0.027,0.509,0.482,0.4928604406039049,0.5260389268805892,0.5094496837422471
249,5,0.1210783439094808,ahc,complete,geometric,10,3day,10.0,0.009,0.509,0.5,0.48439531139273795,0.5071015255128879,0.4957484184528129
250,6,0.1242490018906888,ahc,complete,geometric,10,3day,10.0,0.009,0.509,0.5,0.487697657308362,0.5071015255128879,0.49739959141062495
251,7,0.0966985743203793,ahc,complete,geometric,10,3day,10.0,0.009,0.509,0.5,0.4590029691711557,0.5071015255128879,0.4830522473420218
252,4,0.3195192459171744,ahc,single,geometric,10,full,10.0,0.0045,0.9685,0.964,0.6910781217500337,0.01893740136770128,0.3550077615588675
253,5,0.3226133073347654,ahc,single,geometric,10,full,10.0,0.0045,0.964,0.9595,0.694300689792891,0.02367175170962632,0.35898622075125863
254,6,0.3235284781213747,ahc,single,geometric,10,full,10.0,0.0045,0.9595,0.955,0.6952538706554028,0.028406102051551807,0.3618299863534773
255,7,0.312943616841438,ahc,single,geometric,10,full,10.0,0.0045,0.9459,0.9414,0.6842293850052891,0.04271436086270375,0.3634718729339964
256,4,0.328841588262804,ahc,average,geometric,10,full,10.0,0.0045,0.955,0.9505,0.7007876518701539,0.03314045239347707,0.3669640521318155
257,5,0.3276487696981237,ahc,average,geometric,10,full,10.0,0.0045,0.9324,0.9279,0.6995452915971447,0.05691741188847976,0.37823135174281225
