clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,min_per_cluster,max_per_cluster,min_max_delta
4,0.1649167480769632,ahc,average,geometric,3,weekly,0.0047,0.9671,0.9624
5,0.12089623242990177,ahc,average,geometric,3,weekly,0.0047,0.9577,0.9531
6,0.08216713479521828,ahc,average,geometric,3,weekly,0.0047,0.9531,0.9484
7,0.07776812579362169,ahc,average,geometric,3,weekly,0.0047,0.9531,0.9484
9,0.05385931267688457,ahc,average,geometric,3,weekly,0.0047,0.9296,0.9249
12,0.05294253178865612,ahc,average,geometric,3,weekly,0.0047,0.5915,0.5869
4,0.04023088530153105,ahc,complete,geometric,3,weekly,0.0047,0.7512,0.7465
5,0.042698823474183814,ahc,complete,geometric,3,weekly,0.0047,0.723,0.7183
6,0.04455267188507213,ahc,complete,geometric,3,weekly,0.0047,0.723,0.7183
7,0.04985844450574578,ahc,complete,geometric,3,weekly,0.0047,0.5211,0.5164
9,0.04790862369641311,ahc,complete,geometric,3,weekly,0.0047,0.3521,0.3474
12,0.052017973124478506,ahc,complete,geometric,3,weekly,0.0047,0.3521,0.3474
4,0.21587478779409147,ahc,single,geometric,3,weekly,0.0047,0.9718,0.9671
5,0.21230413646739235,ahc,single,geometric,3,weekly,0.0047,0.9718,0.9671
6,0.11077025560775182,ahc,single,geometric,3,weekly,0.0047,0.9671,0.9624
7,0.08444915843913522,ahc,single,geometric,3,weekly,0.0047,0.9624,0.9577
9,0.05413001852651606,ahc,single,geometric,3,weekly,0.0047,0.9531,0.9484
12,0.022107799913029108,ahc,single,geometric,3,weekly,0.0047,0.9343,0.9296
4,0.290541951935548,ahc,average,geometric,3,3day,0.0047,0.9671,0.9624
5,0.196108439055332,ahc,average,geometric,3,3day,0.0047,0.9624,0.9577
6,0.19604746558495142,ahc,average,geometric,3,3day,0.0047,0.9624,0.9577
7,0.13923676352751335,ahc,average,geometric,3,3day,0.0047,0.9577,0.9531
9,0.08152942437917866,ahc,average,geometric,3,3day,0.0047,0.9437,0.939
