clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,min_per_cluster,max_per_cluster,min_max_delta
4,0.12863808263769128,kshape,not_applicable,geometric,3,weekly,0.1643,0.3944,0.23
5,0.14326677873429516,kshape,not_applicable,geometric,3,weekly,0.1362,0.3192,0.1831
6,0.14544117437817505,kshape,not_applicable,geometric,3,weekly,0.0798,0.2347,0.1549
7,0.15158211761995594,kshape,not_applicable,geometric,3,weekly,0.0657,0.2066,0.1408
9,0.1612669977682953,kshape,not_applicable,geometric,3,weekly,0.0423,0.1972,0.1549
12,0.10834575104387516,kshape,not_applicable,geometric,3,weekly,0.0423,0.169,0.1268
4,0.1577537007617145,kshape,not_applicable,geometric,3,3day,0.1972,0.3991,0.2019
5,0.1593274358926964,kshape,not_applicable,geometric,3,3day,0.1033,0.3662,0.2629
6,0.17587669235306358,kshape,not_applicable,geometric,3,3day,0.0282,0.4038,0.3756
7,0.16509852027233976,kshape,not_applicable,geometric,3,3day,0.0282,0.277,0.2488
9,0.1659540256368955,kshape,not_applicable,geometric,3,3day,0.0282,0.2817,0.2535
12,0.18268605620342926,kshape,not_applicable,geometric,3,3day,0.0235,0.1878,0.1643
4,0.1716128159610904,kshape,not_applicable,geometric,3,full,0.1831,0.3474,0.1643
5,0.1753629884828118,kshape,not_applicable,geometric,3,full,0.1455,0.2441,0.0986
6,0.18685257605645503,kshape,not_applicable,geometric,3,full,0.0657,0.3521,0.2864
7,0.18415651156628546,kshape,not_applicable,geometric,3,full,0.0892,0.1831,0.0939
9,0.18687110307429705,kshape,not_applicable,geometric,3,full,0.0376,0.2347,0.1972
12,0.2020099658547086,kshape,not_applicable,geometric,3,full,0.0235,0.2441,0.2207
4,0.12183432884360117,kshape,not_applicable,geometric,7,weekly,0.1972,0.3005,0.1033
5,0.12545283435996038,kshape,not_applicable,geometric,7,weekly,0.1502,0.2723,0.1221
6,0.11279505734364954,kshape,not_applicable,geometric,7,weekly,0.0845,0.2817,0.1972
7,0.11994577379146135,kshape,not_applicable,geometric,7,weekly,0.0798,0.2488,0.169
9,0.12598439911769344,kshape,not_applicable,geometric,7,weekly,0.0469,0.1972,0.1502
12,0.12752577090582348,kshape,not_applicable,geometric,7,weekly,0.0282,0.1549,0.1268
4,0.12631866883633142,kshape,not_applicable,geometric,7,3day,0.1127,0.4085,0.2958
5,0.14060067563159315,kshape,not_applicable,geometric,7,3day,0.0986,0.3474,0.2488
6,0.14150854630440476,kshape,not_applicable,geometric,7,3day,0.1033,0.2441,0.1408
7,0.15413719609525142,kshape,not_applicable,geometric,7,3day,0.061,0.3286,0.2676
9,0.15971334996233838,kshape,not_applicable,geometric,7,3day,0.0376,0.1972,0.1596
12,0.16575039036250766,kshape,not_applicable,geometric,7,3day,0.0235,0.1878,0.1643
4,0.15334549260944333,kshape,not_applicable,geometric,7,full,0.1596,0.3991,0.2394
5,0.16655932154458244,kshape,not_applicable,geometric,7,full,0.108,0.385,0.277
6,0.16290306303487367,kshape,not_applicable,geometric,7,full,0.0751,0.23,0.1549
7,0.17581129167388296,kshape,not_applicable,geometric,7,full,0.0704,0.2629,0.1925
9,0.17647012168554863,kshape,not_applicable,geometric,7,full,0.0376,0.1925,0.1549
12,0.10646652608251553,kshape,not_applicable,geometric,7,full,0.0235,0.1925,0.169
4,0.10463944640363747,kshape,not_applicable,geometric,10,weekly,0.2113,0.2958,0.0845
5,0.09911949087677983,kshape,not_applicable,geometric,10,weekly,0.1408,0.2488,0.108
6,0.09495291741136261,kshape,not_applicable,geometric,10,weekly,0.1033,0.2817,0.1784
7,0.11042158594288631,kshape,not_applicable,geometric,10,weekly,0.0845,0.216,0.1315
9,0.11565140099046545,kshape,not_applicable,geometric,10,weekly,0.0376,0.1972,0.1596
12,0.09820690191553332,kshape,not_applicable,geometric,10,weekly,0.0235,0.1784,0.1549
4,0.11800998947605641,kshape,not_applicable,geometric,10,3day,0.1549,0.3709,0.216
5,0.12246854240717026,kshape,not_applicable,geometric,10,3day,0.0986,0.3192,0.2207
6,0.13465897188225032,kshape,not_applicable,geometric,10,3day,0.0657,0.2582,0.1925
7,0.14826650161725652,kshape,not_applicable,geometric,10,3day,0.0516,0.3052,0.2535
9,0.13946062141308993,kshape,not_applicable,geometric,10,3day,0.0282,0.2254,0.1972
12,0.15776943951550126,kshape,not_applicable,geometric,10,3day,0.0282,0.2019,0.1737
4,0.14396978334135355,kshape,not_applicable,geometric,10,full,0.1408,0.4038,0.2629
5,0.15719052643396828,kshape,not_applicable,geometric,10,full,0.0892,0.385,0.2958
6,0.16575396465315156,kshape,not_applicable,geometric,10,full,0.0798,0.2911,0.2113
7,0.15612841745487113,kshape,not_applicable,geometric,10,full,0.0516,0.2113,0.1596
9,0.08853784530960544,kshape,not_applicable,geometric,10,full,0.0563,0.1925,0.1362
12,0.15213299682438478,kshape,not_applicable,geometric,10,full,0.0235,0.1831,0.1596
4,0.06730940131249664,kshape,not_applicable,geometric,14,weekly,0.1455,0.3192,0.1737
5,0.09547866091736382,kshape,not_applicable,geometric,14,weekly,0.1033,0.3099,0.2066
6,0.10123904038748217,kshape,not_applicable,geometric,14,weekly,0.0751,0.2347,0.1596
7,0.08266998207223758,kshape,not_applicable,geometric,14,weekly,0.0751,0.2113,0.1362
9,0.10067497928658885,kshape,not_applicable,geometric,14,weekly,0.0188,0.216,0.1972
12,0.11869374626017247,kshape,not_applicable,geometric,14,weekly,0.0188,0.1502,0.1315
4,0.12709707734168868,kshape,not_applicable,geometric,14,3day,0.1737,0.3099,0.1362
