,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.45084890541471356,ahc,single,arithmetic,3,moving_average,10
1,5,0.36611563850100093,ahc,single,arithmetic,3,moving_average,10
2,6,0.21784708926159407,ahc,single,arithmetic,3,moving_average,10
3,7,0.18628961513741205,ahc,single,arithmetic,3,moving_average,10
4,4,0.4365537229360789,ahc,average,arithmetic,3,moving_average,10
5,5,0.2804455232846186,ahc,average,arithmetic,3,moving_average,10
6,6,0.2575449002813026,ahc,average,arithmetic,3,moving_average,10
7,7,0.13990404084382274,ahc,average,arithmetic,3,moving_average,10
8,4,0.15858281702557445,ahc,complete,arithmetic,3,moving_average,10
9,5,0.13166808584252587,ahc,complete,arithmetic,3,moving_average,10
10,6,0.10702316574481151,ahc,complete,arithmetic,3,moving_average,10
11,7,0.10125019388528801,ahc,complete,arithmetic,3,moving_average,10
