,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.3351756112597437,ahc,single,arithmetic,3,moving_average,10
1,5,0.24756724174076877,ahc,single,arithmetic,3,moving_average,10
2,6,0.14556904443019245,ahc,single,arithmetic,3,moving_average,10
3,7,0.13826828527088297,ahc,single,arithmetic,3,moving_average,10
4,4,0.3351756112597437,ahc,average,arithmetic,3,moving_average,10
5,5,0.22023971207690296,ahc,average,arithmetic,3,moving_average,10
6,6,0.20733136364821905,ahc,average,arithmetic,3,moving_average,10
7,7,0.1545463936828405,ahc,average,arithmetic,3,moving_average,10
8,4,0.19425872554800472,ahc,complete,arithmetic,3,moving_average,10
9,5,0.17150295374581762,ahc,complete,arithmetic,3,moving_average,10
10,6,0.16098895007262903,ahc,complete,arithmetic,3,moving_average,10
11,7,0.11681819611988546,ahc,complete,arithmetic,3,moving_average,10
