,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.22655529014789344,ahc,single,arithmetic,3,moving_average,3
1,5,0.0892752362354559,ahc,single,arithmetic,3,moving_average,3
2,6,0.06737150801675351,ahc,single,arithmetic,3,moving_average,3
3,7,0.06599768067188821,ahc,single,arithmetic,3,moving_average,3
4,4,0.3126071189978687,ahc,average,arithmetic,3,moving_average,3
5,5,0.27846570296138246,ahc,average,arithmetic,3,moving_average,3
6,6,0.27329459384992943,ahc,average,arithmetic,3,moving_average,3
7,7,0.1646438846723158,ahc,average,arithmetic,3,moving_average,3
8,4,0.3126071189978687,ahc,complete,arithmetic,3,moving_average,3
9,5,0.2810539264324214,ahc,complete,arithmetic,3,moving_average,3
10,6,0.1323720141665783,ahc,complete,arithmetic,3,moving_average,3
11,7,0.12257399787176318,ahc,complete,arithmetic,3,moving_average,3
