,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.20150713757937627,ahc,single,arithmetic,3,moving_average,3
1,5,0.21446299437013475,ahc,single,arithmetic,3,moving_average,3
2,6,0.21439733049148607,ahc,single,arithmetic,3,moving_average,3
3,7,0.10443598386906987,ahc,single,arithmetic,3,moving_average,3
4,4,0.2865071537862382,ahc,average,arithmetic,3,moving_average,3
5,5,0.24696460139951748,ahc,average,arithmetic,3,moving_average,3
6,6,0.24758259445519928,ahc,average,arithmetic,3,moving_average,3
7,7,0.24239254466744475,ahc,average,arithmetic,3,moving_average,3
8,4,0.2591830867899879,ahc,complete,arithmetic,3,moving_average,3
9,5,0.2600186887576792,ahc,complete,arithmetic,3,moving_average,3
10,6,0.25183602573677966,ahc,complete,arithmetic,3,moving_average,3
11,7,0.061651809079290375,ahc,complete,arithmetic,3,moving_average,3
