,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.15433501836664512,ahc,single,arithmetic,3,moving_average,3
1,5,0.12141095365539409,ahc,single,arithmetic,3,moving_average,3
2,6,0.1359112731344425,ahc,single,arithmetic,3,moving_average,3
3,7,0.08055595960262944,ahc,single,arithmetic,3,moving_average,3
4,4,0.16327107514588207,ahc,average,arithmetic,3,moving_average,3
5,5,0.14542132903171065,ahc,average,arithmetic,3,moving_average,3
6,6,0.14205354404640488,ahc,average,arithmetic,3,moving_average,3
7,7,0.09489999815098882,ahc,average,arithmetic,3,moving_average,3
8,4,0.12163976039630953,ahc,complete,arithmetic,3,moving_average,3
9,5,0.08725205891567914,ahc,complete,arithmetic,3,moving_average,3
10,6,0.09218761848305754,ahc,complete,arithmetic,3,moving_average,3
11,7,0.0666845320638472,ahc,complete,arithmetic,3,moving_average,3
