,clusters,silhouette_score,method,linkage,return_mode,n_init,smoothing,window_size/span
0,4,0.40308860290408993,ahc,single,arithmetic,3,moving_average,7
1,5,0.3762671845782911,ahc,single,arithmetic,3,moving_average,7
2,6,0.34430148087062296,ahc,single,arithmetic,3,moving_average,7
3,7,0.12623165687525062,ahc,single,arithmetic,3,moving_average,7
4,4,0.28694919935377816,ahc,average,arithmetic,3,moving_average,7
5,5,0.22967740041687518,ahc,average,arithmetic,3,moving_average,7
6,6,0.23005880060108105,ahc,average,arithmetic,3,moving_average,7
7,7,0.13748663344677375,ahc,average,arithmetic,3,moving_average,7
8,4,0.12229825118267568,ahc,complete,arithmetic,3,moving_average,7
9,5,0.12373665335047686,ahc,complete,arithmetic,3,moving_average,7
10,6,0.11941702334878888,ahc,complete,arithmetic,3,moving_average,7
11,7,0.09717568188728018,ahc,complete,arithmetic,3,moving_average,7
